asset,target_date,quote_date_used,source,value
1049,2021-10-23,2021-10-23,mirror,4001.0
6126,2021-10-23,2021-10-23,mirror,1978.0
6955,2021-10-23,2021-10-23,mirror,5108.0
1535,2021-10-27,2021-10-27,mirror,2712.0
4035,2021-10-27,2021-10-27,mirror,6876.0
7567,2021-10-27,2021-10-27,mirror,3257.0
6814,2021-10-27,2021-10-27,mirror,3440.0
6828,2021-10-27,2021-10-27,mirror,3098.0
6945,2021-10-27,2021-10-27,mirror,5324.0
6814,2021-10-27,2021-10-27,mirror,3440.0
6828,2021-10-27,2021-10-27,mirror,3098.0
6945,2021-10-27,2021-10-27,mirror,5324.0
1535,2021-10-27,2021-10-27,mirror,2712.0
4035,2021-10-27,2021-10-27,mirror,6876.0
7567,2021-10-27,2021-10-27,mirror,3257.0
2320,2021-11-12,2021-11-12,mirror,2611.0
2320,2021-11-12,2021-11-12,mirror,2611.0
6694,2021-11-13,2021-11-13,mirror,1957.0
6694,2021-11-13,2021-11-13,mirror,1957.0
6828,2021-11-16,2021-11-16,mirror,4396.0
5248,2021-11-16,2021-11-16,mirror,2030.0
6960,2021-11-16,2021-11-16,mirror,1580.0
5248,2021-11-16,2021-11-16,mirror,2030.0
6960,2021-11-16,2021-11-16,mirror,1580.0
6828,2021-11-16,2021-11-16,mirror,4396.0
1352,2021-12-04,2021-12-04,mirror,2886.0
6870,2021-12-04,2021-12-04,mirror,2080.0
3423,2021-12-04,,off-rolls,0.0
4131,2021-12-04,2021-12-04,mirror,2229.0
830,2021-12-04,2021-12-04,mirror,702.0
1992,2021-12-04,2021-12-04,mirror,3008.0
830,2021-12-04,2021-12-04,mirror,702.0
4981,2021-12-04,2021-12-04,mirror,4218.0
3423,2021-12-04,,off-rolls,0.0
4131,2021-12-04,2021-12-04,mirror,2229.0
4981,2021-12-04,2021-12-04,mirror,4218.0
1352,2021-12-04,2021-12-04,mirror,2886.0
1992,2021-12-04,2021-12-04,mirror,3008.0
6870,2021-12-04,2021-12-04,mirror,2080.0
4983,2021-12-04,2021-12-04,mirror,5658.0
6955,2021-12-04,2021-12-04,mirror,4448.0
4018,2021-12-04,2021-12-04,mirror,6461.0
4018,2021-12-04,2021-12-04,mirror,6461.0
4983,2021-12-04,2021-12-04,mirror,5658.0
6955,2021-12-04,2021-12-04,mirror,4448.0
2749,2022-03-09,2022-03-09,mirror,999.0
2749,2022-03-09,2022-03-09,mirror,999.0
4131,2022-06-06,2022-06-06,mirror,1900.0
5955,2022-06-06,2022-06-06,mirror,3321.0
6806,2022-06-06,2022-06-06,mirror,4903.0
7527,2022-06-06,2022-06-06,mirror,4624.0
6806,2022-06-06,2022-06-06,mirror,4903.0
7527,2022-06-06,2022-06-06,mirror,4624.0
4131,2022-06-06,2022-06-06,mirror,1900.0
5955,2022-06-06,2022-06-06,mirror,3321.0
1049,2022-06-21,2022-06-21,mirror,3189.0
1535,2022-06-21,2022-06-21,mirror,2156.0
1049,2022-06-21,2022-06-21,mirror,3189.0
1535,2022-06-21,2022-06-21,mirror,2156.0
5000,2022-07-01,2022-07-01,mirror,2536.0
5906,2022-07-01,2022-07-01,mirror,3122.0
5955,2022-07-01,2022-07-01,mirror,3578.0
5955,2022-07-01,2022-07-01,mirror,3578.0
7526,2022-07-01,2022-07-01,mirror,5644.0
4137,2022-07-01,2022-07-01,mirror,3590.0
5000,2022-07-01,2022-07-01,mirror,2536.0
4137,2022-07-01,2022-07-01,mirror,3590.0
5906,2022-07-01,2022-07-01,mirror,3122.0
7526,2022-07-01,2022-07-01,mirror,5644.0
3969,2022-07-03,2022-07-03,mirror,3867.0
947,2022-07-03,2022-07-03,mirror,691.0
5872,2022-07-03,2022-07-03,mirror,5580.0
7540,2022-07-03,2022-07-03,mirror,1474.0
7605,2022-07-03,2022-07-03,mirror,1157.0
5872,2022-07-03,2022-07-03,mirror,5580.0
7540,2022-07-03,2022-07-03,mirror,1474.0
7605,2022-07-03,2022-07-03,mirror,1157.0
3969,2022-07-03,2022-07-03,mirror,3867.0
947,2022-07-03,2022-07-03,mirror,691.0
6826,2022-07-03,2022-07-03,mirror,3110.0
6886,2022-07-03,2022-07-03,mirror,3518.0
6826,2022-07-03,2022-07-03,mirror,3110.0
6886,2022-07-03,2022-07-03,mirror,3518.0
5110,2022-07-15,2022-07-15,mirror,2811.0
5937,2022-07-15,2022-07-15,mirror,4699.0
5955,2022-07-15,2022-07-15,mirror,3588.0
1166,2022-07-15,2022-07-15,mirror,4066.0
3321,2022-07-15,2022-07-15,mirror,4922.0
1166,2022-07-15,2022-07-15,mirror,4066.0
3321,2022-07-15,2022-07-15,mirror,4922.0
5110,2022-07-15,2022-07-15,mirror,2811.0
5937,2022-07-15,2022-07-15,mirror,4699.0
