Team,Week,Year,PF,Win?,Opponent,Points against,Margin,Max PF,Efficiency,Number of Injuries,Number of suspensions,Number of players on bye,Largest deficit overcome (if win),Starter turnover from previous week,Difference in pregame avg max PF from opponent,UPST,Hardship,Tanking,Luck,Brosenzweig,Sisenzweig,Highest score?,Lowest score?,Narrowest victory?,Largest blowout?,Most efficient?,Least efficient?,Increase in points from previous week,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Number of transactions,Number of trades,Amount of FAAB spent,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams amoung rostered players,Number of rookies started,Number of rookies rostered,Player average age,Win streak,Loss streak,Win streak counting previous season,Loss streak counting previous season,Top half of league?,Difference between highest and lowest starters,Combined matchup score,Number of donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,Number of cuffs rostered,Number of cuffs started,Future draft capital,Startup draft players remaining,WeekNum,Week_Sort,Week_Group,_week_sort
AceMatthew,15,2021,111.52,1.0,shmuel256,88.84,22.68,0.0,,0,0,0,,6.0,,0.0,0.0,,0.5714,0,0,,,,,,,32.56,2,3,3,1,4,10,8,3,0,0,0.0,1,2,,,,,,,,,5,14,0,0,25.96,1,0,,,,15.3,200.36,0,3,1,0,0,0,,,,,15,15,15,15
AceMatthew,17,2021,106.04,0.0,Toilet Final,159.7,-53.66,0.0,,0,0,0,,6.0,,0.0,0.0,,0.0,0,0,,,,,,,-5.47999999999999,2,4,2,1,4,10,8,3,0,0,0.0,1,2,,,,,,,,,6,14,0,0,25.99,0,1,,,,17.5,265.74,0,5,2,0,0,0,,,,,17,17,17,17
AceMatthew,Toilet Semis,2021,139.14,1.0,BROsenzweig,120.68,18.46,0.0,,0,0,0,,6.0,,0.0,0.0,,0.5714,0,0,,,,,,,33.09999999999998,2,3,3,1,4,10,8,3,1,0,0.0,1,2,,,,,,,,,5,14,0,0,25.97,1,0,,,,29.3,259.82,0,2,3,1,0,0,,,,,16,1001,16,1001
AceMatthew,1,2022,86.36,0.0,stevenb123,95.14,-8.78,0.0,,0,0,0,,,,0.0,0.0,,0.0,0,0,,,,,,,,2,3,3,1,4,11,7,2,8,0,0.0,1,2,,,,,,,,,8,17,0,0,25.4,0,1,,,,9.44,181.5,0,5,0,0,0,0,,,,,1,1,1,1
AceMatthew,2,2022,109.52,0.0,JacobRosenzweig,133.12,-23.6,0.0,,0,0,0,,6.0,,0.0,0.0,,0.0,0,0,,,,,,,23.159999999999997,2,3,3,1,4,11,8,2,4,1,0.0,1,2,,,,,,,,,8,17,0,0,25.57,0,2,,,,17.9,242.64,0,4,0,0,0,0,,,,,2,2,2,2
AceMatthew,3,2022,97.8,0.0,LWebs53,113.0,-15.2,0.0,,0,0,0,,8.0,,0.0,0.0,,-0.1429,0,0,,,,,,,-11.719999999999999,2,4,2,1,4,10,9,3,4,0,0.0,1,2,,,,,,,,,7,18,0,0,25.33,0,3,,,,24.08,210.8,0,5,1,0,0,0,,,,,3,3,3,3
AceMatthew,4,2022,72.0,0.0,Shmuel256,167.12,-95.12,0.0,,0,0,0,,14.0,,0.0,0.0,,0.0,0,0,,,,,,,-25.799999999999997,2,4,2,1,5,9,8,3,2,0,0.0,1,2,,,,,,,,,7,17,0,0,25.04,0,4,,,,20.08,239.12,1,5,1,0,0,0,,,,,4,4,4,4
AceMatthew,5,2022,131.22,1.0,plehv79,109.08,22.14,0.0,,0,0,0,,8.0,,0.0,0.0,,0.8571,0,1,,,,,,,59.22,2,4,2,1,5,9,9,2,1,0,0.0,2,2,,,,,,,,,6,17,0,0,25.14,1,0,,,,32.1,240.3,1,3,2,2,0,0,,,,,5,5,5,5
AceMatthew,6,2022,119.6,0.0,BROsenzweig,142.82,-23.22,0.0,,0,0,2,,8.0,,0.0,0.0,,-0.2857,0,0,,,,,,,-11.620000000000005,2,4,2,1,5,9,8,3,0,0,0.0,2,2,,,,,,,,,7,17,0,0,25.48,0,1,,,,32.5,262.42,1,4,2,1,0,0,,,,,6,6,6,6
AceMatthew,7,2022,153.34,0.0,Oliverwkw,162.38,-9.04,0.0,,0,0,2,,10.0,,0.0,0.0,,-0.7143,0,0,,,,,,,33.74000000000001,2,3,3,1,4,9,8,2,2,1,0.0,2,2,,,,,,,,,8,17,0,0,25.29,0,2,,,,37.34,315.72,0,1,2,2,0,0,,,,,7,7,7,7
