Player,Year,Top Team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
Chuba Hubbard,2021,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,18.4,0.0
Chuba Hubbard,2022,,,,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,15.3,0.0
Chuba Hubbard,2023,,,,,,170.29999999999998,,,,,,,,,,,,,,,,,,,,,,,,,22.4,0.0
Chuba Hubbard,2024,,,,,,240.6,,,,,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Chuba Hubbard,2025,,,,,,118.89999999999999,,,,,,,,,,,,,,,,,,,,,,,,,20.4,0.0
Clayton Tune,2023,,,,,,-0.88,,,,,,,,,,,,,,,,,,,,,,,,,-0.88,-0.88
Clyde Edwards-Helaire,2021,,,,,,117.6,,,,,,,,,,,,,,,,,,,,,,,,,19.4,0.0
Clyde Edwards-Helaire,2022,,,,,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,22.4,0.0
Clyde Edwards-Helaire,2023,,,,,,59.699999999999996,,,,,,,,,,,,,,,,,,,,,,,,,20.1,0.0
Colby Parkinson,2024,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,8.7,0.0
Colby Parkinson,2025,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.2
Cole Beasley,2021,,,,,,152.2,,,,,,,,,,,,,,,,,,,,,,,,,21.8,0.0
Cole Beasley,2022,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,4.2,0.0
Cole Kmet,2021,,,,,,103.2,,,,,,,,,,,,,,,,,,,,,,,,,14.7,0.0
Cole Kmet,2022,,,,,,83.3,,,,,,,,,,,,,,,,,,,,,,,,,23.4,0.0
Cole Kmet,2023,,,,,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,27.6,0.0
Cole Kmet,2024,,,,,,118.1,,,,,,,,,,,,,,,,,,,,,,,,,25.7,0.0
Cole Kmet,2025,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,4.1
Colston Loveland,2025,,,,,,118.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,29.8,0.0
Cooper Kupp,2021,,,,,,412.9,,,,,,,,,,,,,,,,,,,,,,,,,37.6,0.0
Cooper Kupp,2022,,,,,,200.4,,,,,,,,,,,,,,,,,,,,,,,,,31.8,0.0
Cooper Kupp,2023,,,,,,164.4,,,,,,,,,,,,,,,,,,,,,,,,,27.8,0.0
Cooper Kupp,2024,,,,,,174.0,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.0
Cooper Kupp,2025,,,,,,57.3,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0
Cooper Rush,2024,,,,,,65.6,,,,,,,,,,,,,,,,,,,,,,,,,18.06,-2.0
Cordarrelle Patterson,2021,,,,,,198.8,,,,,,,,,,,,,,,,,,,,,,,,,34.6,0.0
Cordarrelle Patterson,2022,,,,,,144.8,,,,,,,,,,,,,,,,,,,,,,,,,22.6,0.0
Corey Davis,2021,,,,,,104.2,,,,,,,,,,,,,,,,,,,,,,,,,26.7,0.0
Corey Davis,2022,,,,,,30.9,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.0
Courtland Sutton,2021,,,,,,147.29999999999998,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0
Courtland Sutton,2022,,,,,,147.1,,,,,,,,,,,,,,,,,,,,,,,,,19.7,0.0
Courtland Sutton,2023,,,,,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,19.6,0.0
Courtland Sutton,2024,,,,,,219.5,,,,,,,,,,,,,,,,,,,,,,,,,29.7,0.0
Courtland Sutton,2025,,,,,,210.2,,,,,,,,,,,,,,,,,,,,,,,,,24.3,0.0
Curtis Samuel,2021,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,5.9,0.0
Curtis Samuel,2022,,,,,,175.9,,,,,,,,,,,,,,,,,,,,,,,,,22.9,0.0
Curtis Samuel,2023,,,,,,133.2,,,,,,,,,,,,,,,,,,,,,,,,,21.1,0.0
Curtis Samuel,2024,,,,,,21.8,,,,,,,,,,,,,,,,,,,,,,,,,7.4,0.9
D'Andre Swift,2021,,,,,,193.29999999999998,,,,,,,,,,,,,,,,,,,,,,,,,28.4,0.0
D'Andre Swift,2022,,,,,,174.5,,,,,,,,,,,,,,,,,,,,,,,,,27.7,0.0
D'Andre Swift,2023,,,,,,197.3,,,,,,,,,,,,,,,,,,,,,,,,,27.1,0.0
D'Andre Swift,2024,,,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,29.5,0.0
D'Andre Swift,2025,,,,,,200.9,,,,,,,,,,,,,,,,,,,,,,,,,25.5,0.0
D'Ernest Johnson,2021,,,,,,78.39999999999999,,,,,,,,,,,,,,,,,,,,,,,,,24.8,0.0
D'Ernest Johnson,2022,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,1.7,0.0
D'Ernest Johnson,2023,,,,,,6.699999999999999,,,,,,,,,,,,,,,,,,,,,,,,,4.8,1.9
D'Onta Foreman,2021,,,,,,12.7,,,,,,,,,,,,,,,,,,,,,,,,,7.7,5.0
D'Onta Foreman,2022,,,,,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,31.8,-0.1
D'Onta Foreman,2023,,,,,,81.89999999999999,,,,,,,,,,,,,,,,,,,,,,,,,33.0,-0.6
DJ Chark,2021,,,,,,34.400000000000006,,,,,,,,,,,,,,,,,,,,,,,,,17.6,0.0
DJ Chark,2022,,,,,,69.39999999999999,,,,,,,,,,,,,,,,,,,,,,,,,21.4,0.0
DJ Chark,2023,,,,,,57.900000000000006,,,,,,,,,,,,,,,,,,,,,,,,,18.6,0.0
DJ Giddens,2025,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,4.1,0.0
DJ Moore,2021,,,,,,220.5,,,,,,,,,,,,,,,,,,,,,,,,,31.9,0.0
DJ Moore,2022,,,,,,197.10000000000002,,,,,,,,,,,,,,,,,,,,,,,,,27.5,0.0
DJ Moore,2023,,,,,,276.1,,,,,,,,,,,,,,,,,,,,,,,,,49.0,0.0
DJ Moore,2024,,,,,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,27.5,0.0
DJ Moore,2025,,,,,,166.38,,,,,,,,,,,,,,,,,,,,,,,,,23.4,0.0
DK Metcalf,2021,,,,,,232.5,,,,,,,,,,,,,,,,,,,,,,,,,30.9,0.0
DK Metcalf,2022,,,,,,219.8,,,,,,,,,,,,,,,,,,,,,,,,,26.7,0.0
DK Metcalf,2023,,,,,,223.4,,,,,,,,,,,,,,,,,,,,,,,,,37.4,0.0
DK Metcalf,2024,,,,,,176.9,,,,,,,,,,,,,,,,,,,,,,,,,28.9,0.0
DK Metcalf,2025,,,,,,187.2,,,,,,,,,,,,,,,,,,,,,,,,,23.6,0.0
Dak Prescott,2021,,,,,,280.76,,,,,,,,,,,,,,,,,,,,,,,,,30.3,0.0
Dak Prescott,2022,,,,,,186.88,,,,,,,,,,,,,,,,,,,,,,,,,26.98,0.0
Dak Prescott,2023,,,,,,315.68,,,,,,,,,,,,,,,,,,,,,,,,,37.86,0.0
Dak Prescott,2024,,,,,,113.52,,,,,,,,,,,,,,,,,,,,,,,,,28.86,0.0
Dak Prescott,2025,,,,,,286.4,,,,,,,,,,,,,,,,,,,,,,,,,30.96,0.0
Dallas Goedert,2021,,,,,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,28.5,0.0
Dallas Goedert,2022,,,,,,130.6,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.0
Dallas Goedert,2023,,,,,,134.9,,,,,,,,,,,,,,,,,,,,,,,,,25.7,0.0
Dallas Goedert,2024,,,,,,92.1,,,,,,,,,,,,,,,,,,,,,,,,,26.0,0.0
Dallas Goedert,2025,,,,,,175.3,,,,,,,,,,,,,,,,,,,,,,,,,26.0,0.0
Dalton Kincaid,2023,,,,,,134.9,,,,,,,,,,,,,,,,,,,,,,,,,17.5,0.0
Dalton Kincaid,2024,,,,,,99.8,,,,,,,,,,,,,,,,,,,,,,,,,13.1,0.0
Dalton Kincaid,2025,,,,,,117.30000000000001,,,,,,,,,,,,,,,,,,,,,,,,,22.1,0.0
Dalton Schultz,2021,,,,,,133.6,,,,,,,,,,,,,,,,,,,,,,,,,22.2,0.0
Dalton Schultz,2022,,,,,,135.4,,,,,,,,,,,,,,,,,,,,,,,,,24.6,0.0
Dalton Schultz,2023,,,,,,141.3,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0
Dalton Schultz,2024,,,,,,112.3,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.0
Dalton Schultz,2025,,,,,,85.10000000000001,,,,,,,,,,,,,,,,,,,,,,,,,21.6,0.0
Dalvin Cook,2021,,,,,,196.1,,,,,,,,,,,,,,,,,,,,,,,,,35.2,0.0
Dalvin Cook,2022,,,,,,235.1,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0
Dalvin Cook,2023,,,,,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,8.9,0.2
Dameon Pierce,2022,,,,,,164.4,,,,,,,,,,,,,,,,,,,,,,,,,25.9,0.0
Dameon Pierce,2023,,,,,,82.7,,,,,,,,,,,,,,,,,,,,,,,,,14.9,0.0
Dameon Pierce,2024,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.2
Damien Harris,2021,,,,,,192.8,,,,,,,,,,,,,,,,,,,,,,,,,28.3,0.0
Damien Harris,2022,,,,,,73.4,,,,,,,,,,,,,,,,,,,,,,,,,16.7,0.0
Damien Harris,2023,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,9.3,0.0
Damien Williams,2021,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,16.4,-0.3
Dan Arnold,2021,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,13.7,0.0
Daniel Bellinger,2022,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,14.8,0.0
Daniel Bellinger,2023,,,,,,50.5,,,,,,,,,,,,,,,,,,,,,,,,,8.3,0.0
Daniel Bellinger,2024,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.7,0.0
Daniel Jones,2021,,,,,,163.52,,,,,,,,,,,,,,,,,,,,,,,,,29.46,0.0
Daniel Jones,2022,,,,,,286.0,,,,,,,,,,,,,,,,,,,,,,,,,36.18,0.0
Daniel Jones,2023,,,,,,53.96,,,,,,,,,,,,,,,,,,,,,,,,,30.74,0.0
Daniel Jones,2024,,,,,,133.3,,,,,,,,,,,,,,,,,,,,,,,,,24.36,0.0
Daniel Jones,2025,,,,,,220.44,,,,,,,,,,,,,,,,,,,,,,,,,29.48,0.0
Dare Ogunbowale,2021,,,,,,14.8,,,,,,,,,,,,,,,,,,,,,,,,,14.8,14.8
Darius Slayton,2021,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,3.3,1.8
Darius Slayton,2022,,,,,,63.7,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.4
Darius Slayton,2024,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,11.7,4.7
Darius Slayton,2025,,,,,,7.3999999999999995,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3.3
Darnell Mooney,2021,,,,,,195.1,,,,,,,,,,,,,,,,,,,,,,,,,23.1,0.0
Darnell Mooney,2022,,,,,,101.5,,,,,,,,,,,,,,,,,,,,,,,,,17.5,0.0
Darnell Mooney,2023,,,,,,41.1,,,,,,,,,,,,,,,,,,,,,,,,,15.3,0.0
Darnell Mooney,2024,,,,,,193.2,,,,,,,,,,,,,,,,,,,,,,,,,31.5,0.0
Darnell Mooney,2025,,,,,,69.8,,,,,,,,,,,,,,,,,,,,,,,,,16.4,0.0
Darrel Williams,2021,,,,,,42.599999999999994,,,,,,,,,,,,,,,,,,,,,,,,,23.9,8.0
Darrell Henderson,2021,,,,,,163.4,,,,,,,,,,,,,,,,,,,,,,,,,24.7,0.0
Darrell Henderson,2022,,,,,,73.5,,,,,,,,,,,,,,,,,,,,,,,,,13.2,0.0
Darrell Henderson,2023,,,,,,43.5,,,,,,,,,,,,,,,,,,,,,,,,,13.6,0.0
Darren Waller,2021,,,,,,129.3,,,,,,,,,,,,,,,,,,,,,,,,,26.5,0.0
Darren Waller,2022,,,,,,79.3,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.0
Darren Waller,2023,,,,,,103.7,,,,,,,,,,,,,,,,,,,,,,,,,22.8,0.0
Darren Waller,2025,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,25.6,0.0
Davante Adams,2021,,,,,,332.8,,,,,,,,,,,,,,,,,,,,,,,,,37.6,0.0
Davante Adams,2022,,,,,,322.2,,,,,,,,,,,,,,,,,,,,,,,,,37.7,0.0
Davante Adams,2023,,,,,,249.8,,,,,,,,,,,,,,,,,,,,,,,,,42.2,0.0
Davante Adams,2024,,,,,,220.5,,,,,,,,,,,,,,,,,,,,,,,,,42.8,0.0
Davante Adams,2025,,,,,,222.9,,,,,,,,,,,,,,,,,,,,,,,,,26.5,0.0
David Bell,2022,,,,,,45.4,,,,,,,,,,,,,,,,,,,,,,,,,6.3,0.0
David Johnson,2021,,,,,,43.2,,,,,,,,,,,,,,,,,,,,,,,,,11.8,1.1
David Montgomery,2021,,,,,,185.10000000000002,,,,,,,,,,,,,,,,,,,,,,,,,28.1,0.0
David Montgomery,2022,,,,,,175.6,,,,,,,,,,,,,,,,,,,,,,,,,24.1,0.0
David Montgomery,2023,,,,,,196.2,,,,,,,,,,,,,,,,,,,,,,,,,34.1,0.0
David Montgomery,2024,,,,,,220.72,,,,,,,,,,,,,,,,,,,,,,,,,24.5,0.0
David Montgomery,2025,,,,,,153.42,,,,,,,,,,,,,,,,,,,,,,,,,29.4,0.0
David Njoku,2022,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,18.7,0.0
David Njoku,2023,,,,,,201.2,,,,,,,,,,,,,,,,,,,,,,,,,27.1,0.0
David Njoku,2024,,,,,,148.5,,,,,,,,,,,,,,,,,,,,,,,,,26.2,0.0
David Njoku,2025,,,,,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,18.7,0.0
Davis Allen,2023,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,2.4,0.0
Davis Mills,2021,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,19.4,-5.32
Davis Mills,2022,,,,,,112.56,,,,,,,,,,,,,,,,,,,,,,,,,18.08,0.0
Dawson Knox,2021,,,,,,102.39999999999999,,,,,,,,,,,,,,,,,,,,,,,,,20.7,0.0
Dawson Knox,2022,,,,,,126.4,,,,,,,,,,,,,,,,,,,,,,,,,21.8,0.0
Dawson Knox,2023,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,6.6,0.0
Dawson Knox,2025,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,8.9,8.9
De'Von Achane,2023,,,,,,177.6,,,,,,,,,,,,,,,,,,,,,,,,,51.3,0.0
De'Von Achane,2024,,,,,,280.8,,,,,,,,,,,,,,,,,,,,,,,,,32.1,0.0
De'Von Achane,2025,,,,,,307.6,,,,,,,,,,,,,,,,,,,,,,,,,40.5,0.0
DeAndre Carter,2022,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,16.4,6.3
DeAndre Hopkins,2021,,,,,,147.2,,,,,,,,,,,,,,,,,,,,,,,,,26.3,0.0
DeAndre Hopkins,2022,,,,,,150.7,,,,,,,,,,,,,,,,,,,,,,,,,33.9,0.0
DeAndre Hopkins,2023,,,,,,206.0,,,,,,,,,,,,,,,,,,,,,,,,,34.8,0.0
DeAndre Hopkins,2024,,,,,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,28.6,-0.2
DeAndre Hopkins,2025,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,11.5,2.3
DeMario Douglas,2023,,,,,,67.7,,,,,,,,,,,,,,,,,,,,,,,,,14.4,0.0
DeMario Douglas,2024,,,,,,140.3,,,,,,,,,,,,,,,,,,,,,,,,,21.2,0.0
DeMario Douglas,2025,,,,,,36.6,,,,,,,,,,,,,,,,,,,,,,,,,8.2,1.8
DeVante Parker,2021,,,,,,100.3,,,,,,,,,,,,,,,,,,,,,,,,,17.7,0.0
DeVante Parker,2022,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.0
DeVonta Smith,2021,,,,,,178.5,,,,,,,,,,,,,,,,,,,,,,,,,22.6,0.0
DeVonta Smith,2022,,,,,,240.9,,,,,,,,,,,,,,,,,,,,,,,,,31.3,0.0
DeVonta Smith,2023,,,,,,227.6,,,,,,,,,,,,,,,,,,,,,,,,,24.6,0.0
DeVonta Smith,2024,,,,,,199.4,,,,,,,,,,,,,,,,,,,,,,,,,30.0,0.0
DeVonta Smith,2025,,,,,,189.1,,,,,,,,,,,,,,,,,,,,,,,,,33.3,0.0
Dee Eskridge,2021,,,,,,27.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,12.5,0.0
DeeJay Dallas,2021,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0
DeeJay Dallas,2022,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1
Deebo Samuel,2021,,,,,,308.0,,,,,,,,,,,,,,,,,,,,,,,,,35.7,0.0
Deebo Samuel,2022,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,23.7,0.0
Deebo Samuel,2023,,,,,,237.5,,,,,,,,,,,,,,,,,,,,,,,,,35.8,0.0
Deebo Samuel,2024,,,,,,152.6,,,,,,,,,,,,,,,,,,,,,,,,,25.1,0.0
Deebo Samuel,2025,,,,,,170.8,,,,,,,,,,,,,,,,,,,,,,,,,23.6,0.0
Demarcus Robinson,2023,,,,,,12.2,,,,,,,,,,,,,,,,,,,,,,,,,12.2,12.2
Demarcus Robinson,2024,,,,,,113.3,,,,,,,,,,,,,,,,,,,,,,,,,27.4,0.0
Demaryius Thomas,2021,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Deneric Prince,2023,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Deon Jackson,2022,,,,,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,28.1,3.9
Derek Carr,2021,,,,,,234.62,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0
Derek Carr,2022,,,,,,215.08,,,,,,,,,,,,,,,,,,,,,,,,,20.8,0.0
Derek Carr,2023,,,,,,210.95999999999998,,,,,,,,,,,,,,,,,,,,,,,,,24.96,0.0
Derek Carr,2024,,,,,,147.9,,,,,,,,,,,,,,,,,,,,,,,,,21.82,0.0
Derrick Henry,2021,,,,,,192.3,,,,,,,,,,,,,,,,,,,,,,,,,47.7,0.0
Derrick Henry,2022,,,,,,285.96,,,,,,,,,,,,,,,,,,,,,,,,,35.8,0.0
Derrick Henry,2023,,,,,,225.36,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.0
Derrick Henry,2024,,,,,,304.3,,,,,,,,,,,,,,,,,,,,,,,,,34.9,0.0
Derrick Henry,2025,,,,,,220.3,,,,,,,,,,,,,,,,,,,,,,,,,29.2,0.0
Deshaun Watson,2021,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Deshaun Watson,2022,,,,,,67.98,,,,,,,,,,,,,,,,,,,,,,,,,21.86,0.0
Deshaun Watson,2023,,,,,,83.8,,,,,,,,,,,,,,,,,,,,,,,,,20.16,-1.8
Deshaun Watson,2024,,,,,,74.72,,,,,,,,,,,,,,,,,,,,,,,,,16.44,0.0
Desmond Ridder,2022,,,,,,21.86,,,,,,,,,,,,,,,,,,,,,,,,,8.52,0.0
Desmond Ridder,2023,,,,,,156.5,,,,,,,,,,,,,,,,,,,,,,,,,26.16,-1.32
Deuce Vaughn,2023,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,6.2,0.0
Devaughn Vele,2024,,,,,,67.8,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0
Devaughn Vele,2025,,,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,11.9,0.0
Devin Duvernay,2022,,,,,,72.6,,,,,,,,,,,,,,,,,,,,,,,,,16.4,0.0
Devin Neal,2025,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,15.4,0.0
Devin Singletary,2021,,,,,,167.6,,,,,,,,,,,,,,,,,,,,,,,,,23.0,0.0
Devin Singletary,2022,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,24.1,0.0
Devin Singletary,2023,,,,,,152.84,,,,,,,,,,,,,,,,,,,,,,,,,23.1,0.0
Devin Singletary,2024,,,,,,93.9,,,,,,,,,,,,,,,,,,,,,,,,,18.8,0.0
Devin Singletary,2025,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Devonta Freeman,2021,,,,,,97.8,,,,,,,,,,,,,,,,,,,,,,,,,20.7,0.0
Devontae Booker,2021,,,,,,112.1,,,,,,,,,,,,,,,,,,,,,,,,,17.5,0.0
Dez Fitzpatrick,2021,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Dillon Gabriel,2025,,,,,,70.08,,,,,,,,,,,,,,,,,,,,,,,,,20.08,0.0
Diontae Johnson,2021,,,,,,262.3,,,,,,,,,,,,,,,,,,,,,,,,,30.5,0.0
Diontae Johnson,2022,,,,,,171.9,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0
Diontae Johnson,2023,,,,,,132.8,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0
Diontae Johnson,2024,,,,,,85.9,,,,,,,,,,,,,,,,,,,,,,,,,26.2,0.0
Donovan Peoples-Jones,2021,,,,,,40.5,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0
Donovan Peoples-Jones,2022,,,,,,102.2,,,,,,,,,,,,,,,,,,,,,,,,,19.4,0.0
Donovan Peoples-Jones,2023,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,6.9,1.7
Dont'e Thornton,2025,,,,,,20.3,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0.0
Dontayvion Wicks,2023,,,,,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,14.7,0.0
Dontayvion Wicks,2024,,,,,,100.60000000000001,,,,,,,,,,,,,,,,,,,,,,,,,24.8,0.0
Dontayvion Wicks,2025,,,,,,74.1,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.0
Dontrell Hilliard,2021,,,,,,11.200000000000001,,,,,,,,,,,,,,,,,,,,,,,,,9.9,1.3
Dorian Thompson-Robinson,2023,,,,,,17.3,,,,,,,,,,,,,,,,,,,,,,,,,10.46,0.0
Dorian Thompson-Robinson,2024,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Drake London,2022,,,,,,160.6,,,,,,,,,,,,,,,,,,,,,,,,,24.6,0.0
Drake London,2023,,,,,,166.28,,,,,,,,,,,,,,,,,,,,,,,,,29.2,0.0
Drake London,2024,,,,,,240.1,,,,,,,,,,,,,,,,,,,,,,,,,33.4,0.0
Drake London,2025,,,,,,182.7,,,,,,,,,,,,,,,,,,,,,,,,,38.8,0.0
Drake Maye,2024,,,,,,174.14,,,,,,,,,,,,,,,,,,,,,,,,,20.84,0.0
Drake Maye,2025,,,,,,298.78,,,,,,,,,,,,,,,,,,,,,,,,,26.3,0.0
Drew Brees,2024,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Drew Lock,2023,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Dyami Brown,2021,,,,,,28.1,,,,,,,,,,,,,,,,,,,,,,,,,7.3,-0.4
Dyami Brown,2024,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Dyami Brown,2025,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,7.0,-1.6
Dylan Laube,2024,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Dylan Sampson,2025,,,,,,75.5,,,,,,,,,,,,,,,,,,,,,,,,,17.3,-0.2
Easton Stick,2023,,,,,,17.38,,,,,,,,,,,,,,,,,,,,,,,,,17.38,17.38
Elic Ayomanor,2025,,,,,,94.8,,,,,,,,,,,,,,,,,,,,,,,,,15.6,0.0
Elijah Arroyo,2025,,,,,,36.9,,,,,,,,,,,,,,,,,,,,,,,,,10.9,0.0
Elijah Mitchell,2021,,,,,,156.5,,,,,,,,,,,,,,,,,,,,,,,,,27.8,0.0
Elijah Mitchell,2022,,,,,,26.1,,,,,,,,,,,,,,,,,,,,,,,,,9.8,0.0
Elijah Mitchell,2023,,,,,,32.8,,,,,,,,,,,,,,,,,,,,,,,,,14.0,-0.3
Elijah Mitchell,2024,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Elijah Moore,2021,,,,,,138.2,,,,,,,,,,,,,,,,,,,,,,,,,29.6,0.0
Elijah Moore,2022,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0
Elijah Moore,2023,,,,,,132.1,,,,,,,,,,,,,,,,,,,,,,,,,17.1,0.0
Elijah Moore,2024,,,,,,60.099999999999994,,,,,,,,,,,,,,,,,,,,,,,,,19.2,1.1
Emanuel Wilson,2024,,,,,,57.7,,,,,,,,,,,,,,,,,,,,,,,,,12.6,0.0
Emanuel Wilson,2025,,,,,,69.4,,,,,,,,,,,,,,,,,,,,,,,,,26.5,0.0
Emari Demercado,2023,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0
Emari Demercado,2025,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,6.1,6.1
Emeka Egbuka,2025,,,,,,188.9,,,,,,,,,,,,,,,,,,,,,,,,,31.3,0.0
Emmanuel Sanders,2021,,,,,,65.2,,,,,,,,,,,,,,,,,,,,,,,,,20.4,0.0
Eno Benjamin,2022,,,,,,86.3,,,,,,,,,,,,,,,,,,,,,,,,,23.3,0.0
Eric Gray,2023,,,,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,3.6,-1.0
Eric Gray,2024,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,6.4,-2.0
Erick All,2024,,,,,,28.6,,,,,,,,,,,,,,,,,,,,,,,,,6.8,0.0
Evan Engram,2021,,,,,,101.1,,,,,,,,,,,,,,,,,,,,,,,,,12.8,0.0
Evan Engram,2022,,,,,,106.2,,,,,,,,,,,,,,,,,,,,,,,,,39.2,0.0
Evan Engram,2023,,,,,,205.4,,,,,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Evan Engram,2024,,,,,,89.5,,,,,,,,,,,,,,,,,,,,,,,,,18.2,0.0
Evan Engram,2025,,,,,,89.2,,,,,,,,,,,,,,,,,,,,,,,,,13.9,0.0
Ezekiel Elliott,2021,,,,,,242.06,,,,,,,,,,,,,,,,,,,,,,,,,26.6,0.0
Ezekiel Elliott,2022,,,,,,184.8,,,,,,,,,,,,,,,,,,,,,,,,,18.1,0.0
Ezekiel Elliott,2023,,,,,,160.4,,,,,,,,,,,,,,,,,,,,,,,,,27.0,0.0
