Player,Year,Top Team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
Amari Cooper,2021,,,,,,188.6,,,,,,,,,,,,,,,,,,,,,,,,,38.9,0.0
Amari Cooper,2022,,,,,,238.9,,,,,,,,,,,,,,,,,,,,,,,,,31.3,0.0
Amari Cooper,2023,,,,,,226.0,,,,,,,,,,,,,,,,,,,,,,,,,51.5,0.0
Amari Cooper,2024,,,,,,122.7,,,,,,,,,,,,,,,,,,,,,,,,,27.6,0.0
Amari Rodgers,2021,,,,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,2.9,-1.0
Ameer Abdullah,2024,,,,,,17.7,,,,,,,,,,,,,,,,,,,,,,,,,17.7,17.7
Amon-Ra St. Brown,2021,,,,,,201.2,,,,,,,,,,,,,,,,,,,,,,,,,35.4,0.0
Amon-Ra St. Brown,2022,,,,,,256.7,,,,,,,,,,,,,,,,,,,,,,,,,39.4,0.0
Amon-Ra St. Brown,2023,,,,,,303.5,,,,,,,,,,,,,,,,,,,,,,,,,30.5,0.0
Amon-Ra St. Brown,2024,,,,,,302.48,,,,,,,,,,,,,,,,,,,,,,,,,38.7,0.0
Amon-Ra St. Brown,2025,,,,,,283.3,,,,,,,,,,,,,,,,,,,,,,,,,41.4,0.0
Andrei Iosivas,2023,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Andrei Iosivas,2024,,,,,,116.7,,,,,,,,,,,,,,,,,,,,,,,,,16.2,0.0
Andy Dalton,2022,,,,,,-0.42,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,-0.42
Andy Dalton,2024,,,,,,32.4,,,,,,,,,,,,,,,,,,,,,,,,,15.7,0.0
Anthony Richardson,2023,,,,,,70.68,,,,,,,,,,,,,,,,,,,,,,,,,28.6,0.0
Anthony Richardson,2024,,,,,,157.36,,,,,,,,,,,,,,,,,,,,,,,,,27.08,0.0
Anthony Richardson,2025,,,,,,2.1599999999999997,,,,,,,,,,,,,,,,,,,,,,,,,2.26,-0.1
Anthony Schwartz,2021,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.0
Antonio Brown,2021,,,,,,121.1,,,,,,,,,,,,,,,,,,,,,,,,,31.4,0.0
Antonio Gibson,2021,,,,,,205.0,,,,,,,,,,,,,,,,,,,,,,,,,23.6,0.0
Antonio Gibson,2022,,,,,,164.9,,,,,,,,,,,,,,,,,,,,,,,,,20.7,0.0
Antonio Gibson,2023,,,,,,118.8,,,,,,,,,,,,,,,,,,,,,,,,,16.5,0.0
Antonio Gibson,2024,,,,,,80.4,,,,,,,,,,,,,,,,,,,,,,,,,12.2,-0.3
Arian Smith,2025,,,,,,11.8,,,,,,,,,,,,,,,,,,,,,,,,,3.3,0.0
Ashton Jeanty,2025,,,,,,222.4,,,,,,,,,,,,,,,,,,,,,,,,,33.5,0.0
Audric Estime,2024,,,,,,38.300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,10.8,0.0
Audric Estime,2025,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,6.6,0.0
Austin Ekeler,2021,,,,,,313.9,,,,,,,,,,,,,,,,,,,,,,,,,41.5,0.0
