Player,Top team,Last team,Number of teams,Number of transactions,Number of trades,Points,Avg points,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,% of points (highest team),% of points (lowest team),Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Rookie?,Age,Best week,Worst week
Jaylen Warren,,,,,,571.7,,,,,,,,,,,,,,,,,,,,,29.1,0.0
Jaylen Wright,,,,,,65.7,,,,,,,,,,,,,,,,,,,,,16.7,0.0
Jaylin Lane,,,,,,25.3,,,,,,,,,,,,,,,,,,,,,6.0,0.0
Jaylin Noel,,,,,,51.5,,,,,,,,,,,,,,,,,,,,,11.7,-0.3
Jeff Wilson,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,22.3,0.0
Jeremy McNichols,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,6.5,6.5
Jerick McKinnon,,,,,,160.06,,,,,,,,,,,,,,,,,,,,,34.2,0.0
Jermaine Burton,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,5.7,0.0
Jerome Ford,,,,,,358.2,,,,,,,,,,,,,,,,,,,,,26.1,0.0
Jerry Jeudy,,,,,,718.5,,,,,,,,,,,,,,,,,,,,,40.5,0.0
Jimmy Garoppolo,,,,,,271.78000000000003,,,,,,,,,,,,,,,,,,,,,25.42,0.0
Jimmy Horn,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Joe Burrow,,,,,,1247.54,,,,,,,,,,,,,,,,,,,,,39.24,0.0
Joe Flacco,,,,,,271.24,,,,,,,,,,,,,,,,,,,,,30.7,0.0
Joe Mixon,,,,,,988.8,,,,,,,,,,,,,,,,,,,,,55.1,0.0
John Metchie,,,,,,46.2,,,,,,,,,,,,,,,,,,,,,18.5,0.0
Johnny Wilson,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jonathan Mingo,,,,,,111.6,,,,,,,,,,,,,,,,,,,,,11.9,0.0
Jonathan Taylor,,,,,,1188.5,,,,,,,,,,,,,,,,,,,,,53.4,0.0
Jonathon Brooks,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,7.1,-0.3
Jonnu Smith,,,,,,286.8,,,,,,,,,,,,,,,,,,,,,28.1,0.0
Jordan Addison,,,,,,537.9,,,,,,,,,,,,,,,,,,,,,39.3,0.0
Jordan James,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jordan Love,,,,,,776.34,,,,,,,,,,,,,,,,,,,,,28.44,-0.3
Jordan Mason,,,,,,230.5,,,,,,,,,,,,,,,,,,,,,24.0,0.0
Jordan Travis,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Jordan Whittington,,,,,,40.2,,,,,,,,,,,,,,,,,,,,,15.9,0.0
Josh Allen,,,,,,1823.26,,,,,,,,,,,,,,,,,,,,,51.88,0.0
Josh Doctson,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Josh Downs,,,,,,434.8,,,,,,,,,,,,,,,,,,,,,23.5,0.0
Josh Gordon,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,2.1,0.0
Josh Jacobs,,,,,,1217.3,,,,,,,,,,,,,,,,,,,,,48.3,0.0
Josh Reynolds,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,21.1,0.0
Joshua Dobbs,,,,,,104.22,,,,,,,,,,,,,,,,,,,,,25.12,-0.02
Joshua Kelley,,,,,,46.5,,,,,,,,,,,,,,,,,,,,,13.5,0.0
Joshua Palmer,,,,,,427.2,,,,,,,,,,,,,,,,,,,,,30.6,0.0
JuJu Smith-Schuster,,,,,,281.5,,,,,,,,,,,,,,,,,,,,,25.4,0.0
Julio Jones,,,,,,106.1,,,,,,,,,,,,,,,,,,,,,18.8,0.0
Justice Hill,,,,,,197.5,,,,,,,,,,,,,,,,,,,,,22.2,0.0
Justin Fields,,,,,,873.14,,,,,,,,,,,,,,,,,,,,,42.72,0.0
Justin Herbert,,,,,,1365.04,,,,,,,,,,,,,,,,,,,,,42.82,0.0
Justin Jackson,,,,,,43.300000000000004,,,,,,,,,,,,,,,,,,,,,34.2,9.1
Justin Jefferson,,,,,,1319.54,,,,,,,,,,,,,,,,,,,,,39.4,0.0
Justin Watson,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,7.3,0.0
Juwan Johnson,,,,,,187.9,,,,,,,,,,,,,,,,,,,,,22.7,0.0
K.J. Osborn,,,,,,134.8,,,,,,,,,,,,,,,,,,,,,20.5,0.0
KJ Hamler,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
KaVontae Turpin,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,6.4,4.1
Kadarius Toney,,,,,,161.66,,,,,,,,,,,,,,,,,,,,,29.6,0.0
Kaleb Johnson,,,,,,7.800000000000001,,,,,,,,,,,,,,,,,,,,,2.3,-1.2
Kalel Mullings,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0.3,0.0
Kalif Raymond,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,4.2,4.2
Kareem Hunt,,,,,,577.3,,,,,,,,,,,,,,,,,,,,,27.5,0.0
Kayshon Boutte,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,20.5,0.0
KeAndre Lambert-Smith,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,1.1,0.0
Keaontay Ingram,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,7.1,0.0
Keaton Mitchell,,,,,,101.8,,,,,,,,,,,,,,,,,,,,,13.6,0.0
Keenan Allen,,,,,,1004.5600000000001,,,,,,,,,,,,,,,,,,,,,44.46,0.0
Kellen Mond,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,0.2,0.2
Kendre Miller,,,,,,90.8,,,,,,,,,,,,,,,,,,,,,13.0,0.0
Kendrick Bourne,,,,,,77.1,,,,,,,,,,,,,,,,,,,,,19.2,0.3
Kenneth Gainwell,,,,,,448.68,,,,,,,,,,,,,,,,,,,,,31.4,0.0
Kenneth Walker,,,,,,725.5,,,,,,,,,,,,,,,,,,,,,33.6,0.0
Kenny Golladay,,,,,,88.10000000000001,,,,,,,,,,,,,,,,,,,,,17.6,0.0
Kenny Pickett,,,,,,267.56,,,,,,,,,,,,,,,,,,,,,19.06,-0.2
Kenyan Drake,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,21.3,0.0
Keon Coleman,,,,,,199.0,,,,,,,,,,,,,,,,,,,,,25.2,0.0
KhaDarel Hodge,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Khalil Herbert,,,,,,304.4,,,,,,,,,,,,,,,,,,,,,30.9,-0.7
Khalil Shakir,,,,,,402.8,,,,,,,,,,,,,,,,,,,,,21.6,0.0
Kimani Vidal,,,,,,143.7,,,,,,,,,,,,,,,,,,,,,22.8,0.0
Kirk Cousins,,,,,,900.48,,,,,,,,,,,,,,,,,,,,,34.36,0.0
Kyle Monangai,,,,,,133.1,,,,,,,,,,,,,,,,,,,,,22.8,0.0
Kyle Philips,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,1.7,-0.5
Kyle Pitts,,,,,,705.1,,,,,,,,,,,,,,,,,,,,,45.6,0.0
Kyle Trask,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Kyle Williams,,,,,,43.7,,,,,,,,,,,,,,,,,,,,,14.2,-0.2
Kyler Murray,,,,,,929.62,,,,,,,,,,,,,,,,,,,,,33.56,0.0
Kyren Williams,,,,,,773.4,,,,,,,,,,,,,,,,,,,,,38.4,0.0
Ladd McConkey,,,,,,399.2,,,,,,,,,,,,,,,,,,,,,29.4,0.0
Lamar Jackson,,,,,,1389.12,,,,,,,,,,,,,,,,,,,,,41.88,0.0
Laquon Treadwell,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,9.4,9.4
Latavius Murray,,,,,,106.9,,,,,,,,,,,,,,,,,,,,,21.2,0.0
Laviska Shenault,,,,,,115.8,,,,,,,,,,,,,,,,,,,,,17.0,0.0
Le'Veon Bell,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
LeQuint Allen,,,,,,24.5,,,,,,,,,,,,,,,,,,,,,3.6,0.0
Leonard Fournette,,,,,,479.2,,,,,,,,,,,,,,,,,,,,,44.1,0.0
Lil'Jordan Humphrey,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,6.8,0.0
Logan Thomas,,,,,,167.9,,,,,,,,,,,,,,,,,,,,,20.7,0.0
Luke McCaffrey,,,,,,66.6,,,,,,,,,,,,,,,,,,,,,10.3,0.0
Luke Musgrave,,,,,,85.5,,,,,,,,,,,,,,,,,,,,,14.1,-0.1
Luke Schoonmaker,,,,,,27.8,,,,,,,,,,,,,,,,,,,,,10.3,0.0
Luther Burden,,,,,,92.6,,,,,,,,,,,,,,,,,,,,,19.8,0.0
Mac Jones,,,,,,465.36,,,,,,,,,,,,,,,,,,,,,24.14,-1.6
Mack Hollins,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,6.3,6.3
Malachi Corley,,,,,,5.2,,,,,,,,,,,,,,,,,,,,,2.0,-0.2
Malik Nabers,,,,,,312.3,,,,,,,,,,,,,,,,,,,,,37.7,0.0
Malik Washington,,,,,,109.2,,,,,,,,,,,,,,,,,,,,,13.6,0.0
Malik Willis,,,,,,18.34,,,,,,,,,,,,,,,,,,,,,9.26,-2.4
MarShawn Lloyd,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,2.8,0.0
Marcus Mariota,,,,,,2.86,,,,,,,,,,,,,,,,,,,,,2.86,2.86
Mark Andrews,,,,,,900.7,,,,,,,,,,,,,,,,,,,,,41.7,0.0
Mark Ingram,,,,,,63.8,,,,,,,,,,,,,,,,,,,,,20.8,0.0
Marlon Mack,,,,,,2.2,,,,,,,,,,,,,,,,,,,,,2.2,2.2
Marquez Callaway,,,,,,151.79999999999998,,,,,,,,,,,,,,,,,,,,,24.5,0.0
Marquez Valdes-Scantling,,,,,,138.6,,,,,,,,,,,,,,,,,,,,,16.7,0.0
Marquise Brown,,,,,,620.6,,,,,,,,,,,,,,,,,,,,,33.5,0.0
Marvin Harrison,,,,,,307.0,,,,,,,,,,,,,,,,,,,,,29.0,0.0
Marvin Jones,,,,,,172.5,,,,,,,,,,,,,,,,,,,,,23.0,0.0
Marvin Mims,,,,,,259.4,,,,,,,,,,,,,,,,,,,,,29.2,-1.1
Mason Taylor,,,,,,88.9,,,,,,,,,,,,,,,,,,,,,17.7,0.0
Mason Tipton,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,3.4,3.4
Matt Breida,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,3.4,3.4
Matt Ryan,,,,,,291.5,,,,,,,,,,,,,,,,,,,,,29.02,-0.32
Matthew Golden,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,13.2,0.0
Matthew Stafford,,,,,,1176.24,,,,,,,,,,,,,,,,,,,,,30.88,0.0
Max Brosmer,,,,,,-3.06,,,,,,,,,,,,,,,,,,,,,-3.06,-3.06
Maxx Williams,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,2.4,2.4
Mecole Hardman,,,,,,216.6,,,,,,,,,,,,,,,,,,,,,28.0,0.0
Melvin Gordon,,,,,,262.6,,,,,,,,,,,,,,,,,,,,,23.1,-1.2
Michael Carter,,,,,,283.4,,,,,,,,,,,,,,,,,,,,,32.2,0.0
Michael Gallup,,,,,,233.3,,,,,,,,,,,,,,,,,,,,,18.3,0.0
Michael Mayer,,,,,,127.1,,,,,,,,,,,,,,,,,,,,,16.0,0.0
Michael Penix,,,,,,135.4,,,,,,,,,,,,,,,,,,,,,23.02,0.0
Michael Pittman,,,,,,1010.8,,,,,,,,,,,,,,,,,,,,,30.6,0.0
Michael Thomas,,,,,,140.9,,,,,,,,,,,,,,,,,,,,,22.7,0.0
Michael Wilson,,,,,,302.5,,,,,,,,,,,,,,,,,,,,,37.2,0.0
Mike Boone,,,,,,12.9,,,,,,,,,,,,,,,,,,,,,11.5,1.4
Mike Davis,,,,,,135.5,,,,,,,,,,,,,,,,,,,,,16.9,0.0
Mike Evans,,,,,,1028.1,,,,,,,,,,,,,,,,,,,,,48.7,0.0
Mike Gesicki,,,,,,354.0,,,,,,,,,,,,,,,,,,,,,24.9,0.0
Mike White,,,,,,28.78,,,,,,,,,,,,,,,,,,,,,17.46,-2.0
Mike Williams,,,,,,478.0,,,,,,,,,,,,,,,,,,,,,36.5,0.0
Miles Sanders,,,,,,417.40000000000003,,,,,,,,,,,,,,,,,,,,,31.0,0.0
Mitchell Evans,,,,,,45.1,,,,,,,,,,,,,,,,,,,,,11.3,0.0
Mitchell Trubisky,,,,,,33.46,,,,,,,,,,,,,,,,,,,,,20.6,12.86
Myles Gaskin,,,,,,168.6,,,,,,,,,,,,,,,,,,,,,31.9,0.0
Najee Harris,,,,,,870.46,,,,,,,,,,,,,,,,,,,,,29.6,0.0
Nelson Agholor,,,,,,45.9,,,,,,,,,,,,,,,,,,,,,18.2,3.7
Nick Chubb,,,,,,640.1,,,,,,,,,,,,,,,,,,,,,32.3,0.0
Nick Mullens,,,,,,17.12,,,,,,,,,,,,,,,,,,,,,17.12,17.12
Nick Westbrook-Ikhine,,,,,,34.2,,,,,,,,,,,,,,,,,,,,,9.7,2.9
Nico Collins,,,,,,802.9,,,,,,,,,,,,,,,,,,,,,35.8,0.0
Noah Brown,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,22.2,0.0
Noah Fant,,,,,,166.2,,,,,,,,,,,,,,,,,,,,,24.7,0.0
Noah Gray,,,,,,37.7,,,,,,,,,,,,,,,,,,,,,10.1,1.5
Nyheim Miller-Hines,,,,,,77.5,,,,,,,,,,,,,,,,,,,,,18.9,0.0
Odell Beckham,,,,,,192.3,,,,,,,,,,,,,,,,,,,,,19.7,0.0
Olamide Zaccheaus,,,,,,25.8,,,,,,,,,,,,,,,,,,,,,23.3,2.5
Ollie Gordon,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,13.6,-0.3
Omarion Hampton,,,,,,114.7,,,,,,,,,,,,,,,,,,,,,27.5,0.0
Oronde Gadsden,,,,,,114.89999999999999,,,,,,,,,,,,,,,,,,,,,29.4,0.0
P.J. Walker,,,,,,4.28,,,,,,,,,,,,,,,,,,,,,4.28,4.28
Parker Washington,,,,,,154.3,,,,,,,,,,,,,,,,,,,,,24.3,0.0
Parris Campbell,,,,,,79.9,,,,,,,,,,,,,,,,,,,,,20.6,0.0
Pat Bryant,,,,,,67.7,,,,,,,,,,,,,,,,,,,,,13.2,0.0
Pat Freiermuth,,,,,,602.3,,,,,,,,,,,,,,,,,,,,,28.1,0.0
Patrick Mahomes,,,,,,1569.8,,,,,,,,,,,,,,,,,,,,,36.24,0.0
Patrick Taylor,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,8.5,0.0
Philip Rivers,,,,,,21.88,,,,,,,,,,,,,,,,,,,,,16.08,0.0
Phillip Lindsay,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,8.5,8.5
Puka Nacua,,,,,,823.3,,,,,,,,,,,,,,,,,,,,,46.5,0.0
Quentin Johnston,,,,,,389.2,,,,,,,,,,,,,,,,,,,,,24.9,0.0
Quinn Ewers,,,,,,7.0200000000000005,,,,,,,,,,,,,,,,,,,,,6.9,0.0
Quinshon Judkins,,,,,,169.8,,,,,,,,,,,,,,,,,,,,,26.4,0.0
Quintez Cephus,,,,,,20.900000000000002,,,,,,,,,,,,,,,,,,,,,12.3,1.8
RJ Harvey,,,,,,183.7,,,,,,,,,,,,,,,,,,,,,24.1,0.0
Rachaad White,,,,,,724.0,,,,,,,,,,,,,,,,,,,,,29.1,0.0
Raheem Mostert,,,,,,465.4,,,,,,,,,,,,,,,,,,,,,45.2,-0.2
Randall Cobb,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,3.4,3.4
Rashaad Penny,,,,,,113.89999999999999,,,,,,,,,,,,,,,,,,,,,32.5,0.0
Rashee Rice,,,,,,424.5,,,,,,,,,,,,,,,,,,,,,29.1,0.0
Rashid Shaheed,,,,,,413.0,,,,,,,,,,,,,,,,,,,,,24.3,0.0
Rashod Bateman,,,,,,397.2,,,,,,,,,,,,,,,,,,,,,23.0,0.0
Ray Davis,,,,,,137.7,,,,,,,,,,,,,,,,,,,,,18.2,0.0
Ray-Ray McCloud,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,16.1,2.4
Rex Burkhead,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,7.0,2.9
Rhamondre Stevenson,,,,,,777.1,,,,,,,,,,,,,,,,,,,,,27.4,0.0
Richie James,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,-0.1,-0.1
Ricky Pearsall,,,,,,149.7,,,,,,,,,,,,,,,,,,,,,28.7,0.0
Ricky Seals-Jones,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,11.1,11.1
Rico Dowdle,,,,,,421.4,,,,,,,,,,,,,,,,,,,,,32.9,0.0
Riley Leonard,,,,,,10.4,,,,,,,,,,,,,,,,,,,,,10.3,0.0
Rob Gronkowski,,,,,,150.5,,,,,,,,,,,,,,,,,,,,,29.0,0.0
Robbie Chosen,,,,,,127.1,,,,,,,,,,,,,,,,,,,,,21.4,0.0
Robert Tonyan,,,,,,60.1,,,,,,,,,,,,,,,,,,,,,16.3,0.0
Robert Woods,,,,,,221.9,,,,,,,,,,,,,,,,,,,,,27.0,0.0
Roman Wilson,,,,,,-0.6,,,,,,,,,,,,,,,,,,,,,0.0,-0.6
Rome Odunze,,,,,,286.2,,,,,,,,,,,,,,,,,,,,,31.8,0.0
Romeo Doubs,,,,,,561.3,,,,,,,,,,,,,,,,,,,,,29.8,0.0
Ronald Jones,,,,,,49.1,,,,,,,,,,,,,,,,,,,,,16.1,-0.6
Rondale Moore,,,,,,291.4,,,,,,,,,,,,,,,,,,,,,23.4,-0.6
Ronnie Rivers,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.1,0.0
Roschon Johnson,,,,,,169.6,,,,,,,,,,,,,,,,,,,,,17.5,0.0
Royce Freeman,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,1.2,1.2
Russell Gage,,,,,,146.6,,,,,,,,,,,,,,,,,,,,,24.7,0.0
Russell Wilson,,,,,,871.4399999999999,,,,,,,,,,,,,,,,,,,,,29.3,-0.68
Ryan Fitzpatrick,,,,,,-0.28,,,,,,,,,,,,,,,,,,,,,0.0,-0.28
Ryan Tannehill,,,,,,401.14,,,,,,,,,,,,,,,,,,,,,21.48,0.0
Sam Darnold,,,,,,694.0,,,,,,,,,,,,,,,,,,,,,34.58,0.0
Sam Ehlinger,,,,,,13.559999999999999,,,,,,,,,,,,,,,,,,,,,7.54,0.0
Sam Howell,,,,,,248.12,,,,,,,,,,,,,,,,,,,,,29.98,-1.76
Sam LaPorta,,,,,,493.6,,,,,,,,,,,,,,,,,,,,,29.0,0.0
Samaje Perine,,,,,,160.8,,,,,,,,,,,,,,,,,,,,,21.5,0.0
Sammy Watkins,,,,,,38.4,,,,,,,,,,,,,,,,,,,,,10.8,0.0
Saquon Barkley,,,,,,1202.0,,,,,,,,,,,,,,,,,,,,,46.2,0.0
Savion Williams,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,4.3,0.0
Sean Tucker,,,,,,98.4,,,,,,,,,,,,,,,,,,,,,34.0,0.0
Shedeur Sanders,,,,,,69.42,,,,,,,,,,,,,,,,,,,,,33.46,0.0
Sincere McCormick,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,4.5,0.0
Sione Vaki,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0
Skyy Moore,,,,,,97.1,,,,,,,,,,,,,,,,,,,,,16.0,-2.0
Sony Michel,,,,,,82.9,,,,,,,,,,,,,,,,,,,,,21.9,0.2
Spencer Rattler,,,,,,147.72,,,,,,,,,,,,,,,,,,,,,20.68,0.0
Stefon Diggs,,,,,,1118.12,,,,,,,,,,,,,,,,,,,,,44.8,0.0
Sterling Shepard,,,,,,82.5,,,,,,,,,,,,,,,,,,,,,24.3,0.0
T.J. Hockenson,,,,,,773.5,,,,,,,,,,,,,,,,,,,,,39.9,0.0
T.Y. Hilton,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,12.0,0.0
Tahj Brooks,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,1.7,0.0
Tank Bigsby,,,,,,150.29999999999998,,,,,,,,,,,,,,,,,,,,,24.9,-1.1
Tank Dell,,,,,,304.0,,,,,,,,,,,,,,,,,,,,,29.6,0.0
Tanner Hudson,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,1.5,1.5
Tarik Cohen,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Taylor Heinicke,,,,,,158.88,,,,,,,,,,,,,,,,,,,,,27.9,0.0
Taysom Hill,,,,,,368.5,,,,,,,,,,,,,,,,,,,,,41.52,-1.1
Teddy Bridgewater,,,,,,161.0,,,,,,,,,,,,,,,,,,,,,21.86,0.0
Tee Higgins,,,,,,974.0,,,,,,,,,,,,,,,,,,,,,43.4,0.0
Terrace Marshall,,,,,,139.9,,,,,,,,,,,,,,,,,,,,,14.3,0.0
Terrance Ferguson,,,,,,38.7,,,,,,,,,,,,,,,,,,,,,12.3,0.0
Terry McLaurin,,,,,,950.2,,,,,,,,,,,,,,,,,,,,,30.3,0.0
Tetairoa McMillan,,,,,,199.4,,,,,,,,,,,,,,,,,,,,,33.0,0.0
Tevin Coleman,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,10.7,10.7
Tez Johnson,,,,,,85.3,,,,,,,,,,,,,,,,,,,,,20.2,0.0
Theo Johnson,,,,,,195.9,,,,,,,,,,,,,,,,,,,,,21.3,0.0
Tim Boyle,,,,,,4.12,,,,,,,,,,,,,,,,,,,,,4.12,4.12
Tim Patrick,,,,,,30.6,,,,,,,,,,,,,,,,,,,,,13.2,3.6
Tom Brady,,,,,,612.0,,,,,,,,,,,,,,,,,,,,,37.74,0.0
Tommy DeVito,,,,,,86.88,,,,,,,,,,,,,,,,,,,,,22.54,0.0
Tommy Tremble,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Tony Jones,,,,,,15.4,,,,,,,,,,,,,,,,,,,,,6.3,0.7
Tony Pollard,,,,,,963.8000000000001,,,,,,,,,,,,,,,,,,,,,36.9,0.0
Tory Horton,,,,,,65.1,,,,,,,,,,,,,,,,,,,,,20.8,0.0
Travis Etienne,,,,,,824.5,,,,,,,,,,,,,,,,,,,,,36.4,-0.1
Travis Hunter,,,,,,62.800000000000004,,,,,,,,,,,,,,,,,,,,,24.1,0.0
Travis Kelce,,,,,,1150.1,,,,,,,,,,,,,,,,,,,,,41.1,0.0
Tre Tucker,,,,,,217.8,,,,,,,,,,,,,,,,,,,,,22.6,0.0
Tre' Harris,,,,,,62.1,,,,,,,,,,,,,,,,,,,,,9.4,0.0
Tre' McKitty,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Tre'Quan Smith,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
TreVeyon Henderson,,,,,,180.7,,,,,,,,,,,,,,,,,,,,,32.3,0.0
Trestan Ebner,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,0.8,0.8
Trevor Etienne,,,,,,10.7,,,,,,,,,,,,,,,,,,,,,3.9,-2.0
Trevor Lawrence,,,,,,1133.16,,,,,,,,,,,,,,,,,,,,,44.3,0.0
Trey Benson,,,,,,81.3,,,,,,,,,,,,,,,,,,,,,12.5,0.0
Trey Lance,,,,,,76.38,,,,,,,,,,,,,,,,,,,,,20.38,0.0
Trey McBride,,,,,,730.6,,,,,,,,,,,,,,,,,,,,,37.4,0.0
Trey Palmer,,,,,,59.2,,,,,,,,,,,,,,,,,,,,,16.4,0.0
Trey Sermon,,,,,,49.5,,,,,,,,,,,,,,,,,,,,,18.3,0.0
Treylon Burks,,,,,,128.1,,,,,,,,,,,,,,,,,,,,,18.1,0.0
Troy Franklin,,,,,,235.29999999999998,,,,,,,,,,,,,,,,,,,,,26.9,0.0
Tua Tagovailoa,,,,,,971.7,,,,,,,,,,,,,,,,,,,,,38.86,-4.4
Tucker Kraft,,,,,,336.0,,,,,,,,,,,,,,,,,,,,,33.3,0.0
Tutu Atwell,,,,,,94.89999999999999,,,,,,,,,,,,,,,,,,,,,17.2,0.0
Ty Chandler,,,,,,97.1,,,,,,,,,,,,,,,,,,,,,24.7,0.0
Ty Johnson,,,,,,134.7,,,,,,,,,,,,,,,,,,,,,19.6,0.0
Ty'Son Williams,,,,,,30.9,,,,,,,,,,,,,,,,,,,,,18.4,0.0
Tyjae Spears,,,,,,344.7,,,,,,,,,,,,,,,,,,,,,27.2,0.0
Tyler Allgeier,,,,,,492.2,,,,,,,,,,,,,,,,,,,,,24.4,0.0
Tyler Boyd,,,,,,489.26,,,,,,,,,,,,,,,,,,,,,29.5,0.0
Tyler Conklin,,,,,,91.3,,,,,,,,,,,,,,,,,,,,,25.9,0.0
Tyler Higbee,,,,,,375.7,,,,,,,,,,,,,,,,,,,,,30.4,0.0
Tyler Huntley,,,,,,52.199999999999996,,,,,,,,,,,,,,,,,,,,,12.2,4.02
Tyler Johnson,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,5.0,1.8
Tyler Lockett,,,,,,737.8,,,,,,,,,,,,,,,,,,,,,31.8,0.0
Tyler Shough,,,,,,109.96000000000001,,,,,,,,,,,,,,,,,,,,,21.26,0.0
Tyler Warren,,,,,,170.6,,,,,,,,,,,,,,,,,,,,,18.3,0.0
Tyquan Thornton,,,,,,13.299999999999999,,,,,,,,,,,,,,,,,,,,,8.1,0.0
Tyreek Hill,,,,,,1259.1,,,,,,,,,,,,,,,,,,,,,47.6,0.0
Tyrell Williams,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,3.4,0.0
Tyrion Davis-Price,,,,,,7.199999999999999,,,,,,,,,,,,,,,,,,,,,3.3,0.0
Tyrod Taylor,,,,,,2.62,,,,,,,,,,,,,,,,,,,,,2.62,0.0
Tyrone Tracy,,,,,,296.9,,,,,,,,,,,,,,,,,,,,,24.7,0.0
Van Jefferson,,,,,,135.3,,,,,,,,,,,,,,,,,,,,,18.3,0.0
Wan'Dale Robinson,,,,,,534.3,,,,,,,,,,,,,,,,,,,,,29.6,0.0
Will Dissly,,,,,,34.7,,,,,,,,,,,,,,,,,,,,,18.0,0.0
Will Levis,,,,,,204.16,,,,,,,,,,,,,,,,,,,,,26.62,-4.44
Will Shipley,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,5.4,-0.7
William Fuller,,,,,,8.6,,,,,,,,,,,,,,,,,,,,,7.0,0.0
Woody Marks,,,,,,134.8,,,,,,,,,,,,,,,,,,,,,27.9,0.0
Xavier Hutchinson,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0
Xavier Legette,,,,,,200.9,,,,,,,,,,,,,,,,,,,,,24.2,0.0
Xavier Worthy,,,,,,297.0,,,,,,,,,,,,,,,,,,,,,22.9,-1.0
Zach Charbonnet,,,,,,412.4,,,,,,,,,,,,,,,,,,,,,38.3,0.0
Zach Ertz,,,,,,523.8,,,,,,,,,,,,,,,,,,,,,28.8,0.0
Zach Evans,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,0.6,0.0
Zach Wilson,,,,,,292.42,,,,,,,,,,,,,,,,,,,,,23.18,-0.96
Zack Moss,,,,,,363.7,,,,,,,,,,,,,,,,,,,,,33.5,0.0
