Player-Week,Player-year,Player-all-time,team-week,team-year,team-all-time,league-week,league-year,league-all-time,add_drops,player_additions,trades,non_rookie_picks,rookie_picks,Formulas
TE of the week?,Times as Lowest starter on team?,Times as Captain?,Lowest score?,Max PF,Team for lowest Win %,Most number of QBs started from same NFL team,Most number of players rostered from same NFL team,Most number of RBs started from same NFL team,Points Added,PPG bench on team adjusted by position,Difference of averages adjusted by position,Injury adjusted % of starts made while rostered by drafting team,Injury adjusted % of starts made while rostered by drafting team,
Benchwarmer of the week?,Times as Captain?,Number of Add/Drops,Narrowest victory?,Avg max PF,Win % vs playoff teams,Most number of QBs rostered from same NFL team,Most number of QBs started from same NFL team,Most number of RBs rostered from same NFL team,Points Lost,Adjusted PPG bench on team,Trade addition value,KTC on draft day,KTC on draft day,
Bench QB of the week?,Number of teams,Number of drops,Largest blowout?,Efficiency,Win % vs non-playoff teams,Most number of RBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of WR started from same NFL team,Net points,Adjusted PPG bench on team adjusted by position,Points added,Pick-adjusted Difference in KTC on draft day,Pick-adjusted Difference in KTC on draft day,
Bench RB of the week?,Number of Add/Drops,Number of trades,Most efficient?,Points from QBs,Win % vs champions,Most number of RBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of WR rostered from same NFL team,Avg points added,Avg points added,Points lost,KTC at end of rookie year,KTC at end of rookie year,
Bench WR of the week?,Number of drops,Starter scoring volatility,Least efficient?,Points from WRs,Win % vs last place,Most number of WR started from same NFL team,Most number of RBs rostered from same NFL team,Most number of TE started from same NFL team,Avg points lost,Avg points added adjusted by position,Net points,Pick-adjusted Difference in KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,
Bench TE of the week?,Number of trades,Starter scoring floor,Top half of league?,Points from TEs,Record vs playoff teams,Most number of WR rostered from same NFL team,Most number of WR started from same NFL team,Most number of TE rostered from same NFL team,Avg net points,Adjusted Avg points added,Avg points added,KTC 1 year after draft day,KTC 1 year after draft day,
Highest starter on team?,Starter scoring volatility,Starter scoring ceiling,One-man army?,Points from RBs,Record vs non-playoff teams,Most number of TE started from same NFL team,Most number of WR rostered from same NFL team,Number of NFL teams among starting players,Avg points added adjusted by position,Adjusted Avg points added adjusted by position,Avg points lost,Pick-adjusted Difference in KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,
Lowest starter on team?,Starter scoring floor,Starter boom %,Most bench points?,% of points from QBs,Record vs champions,Most number of TE rostered from same NFL team,Most number of TE started from same NFL team,Number of NFL teams among rostered players,Avg points lost adjusted by position,Avg points added per rostered week,Avg net points,KTC 2 years after draft day,KTC 2 years after draft day,
Captain?,Starter scoring ceiling,Starter bust %,Most injured?,% of points from WRs,Record vs last place,Number of NFL teams among starting players,Most number of TE rostered from same NFL team,Stacks,Avg net points adjusted by position,Avg points added per rostered week adjusted by position,Avg points added adjusted by position,Pick-adjusted Difference in KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,
Player of the week streak,Starter boom %,Starter upper quartile %,Win streak,% of points from TEs,Points,Number of NFL teams among rostered players,Number of NFL teams among starting players,Number of rookies started,Dropped avg points,Adjusted Avg points added per rostered week,Avg points lost adjusted by position,KTC 3 years after draft day,KTC 3 years after draft day,
QB of the week streak,Starter bust %,Starter middle 50% %,Loss streak,% of points from RBs,Avg points,Stacks,Number of NFL teams among rostered players,Number of rookies rostered,Dropped avg points adjusted by position,Adjusted Avg points added per rostered week adjusted by position,Avg net points adjusted by position,Pick-adjusted Difference in KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,
RB of the week streak,Starter upper quartile %,Starter lower quartile %,Win streak counting previous season,Drafting skill,Points against,Number of rookies started,Stacks,% of players drafted,Dropped total points,PPG of 5 games before pickup,O-Score,KTC 4 years after draft day,KTC 4 years after draft day,
WR of the week streak,Starter middle 50% %,Starter PAR,Loss streak counting previous season,Trading skill,Avg points against,Number of rookies rostered,Number of rookies started,% of 3rd year+ players drafted,O-Score,PPG of 5 games before pickup adjusted by position,Asset difference in average age,Pick-adjusted Difference in KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,
TE of the week streak,Starter lower quartile %,Starter PAR per game,Highest score streak,Add/Drop skill,Max PF,% of players drafted,Number of rookies rostered,Player average age,Age difference,Player addition value,Number of teams involved,Length of tenure on team,Length of tenure on team,
Benchwarmer of the week streak,Starter PAR,Starter PAR per game adjusted by position,Lowest score streak,Times Brosenzweig,Avg max PF,% of 3rd year+ players drafted,% of players drafted,Team age including picks,Cuff at time of pickup?,Age at pickup,Tanking,Weeks before first start,Weeks before first start,
Bench QB of the week streak,Starter PAR per game,Rostered scoring volatility,Narrowest victory streak,Times Sisenzweig,Efficiency,Player average age,% of 3rd year+ players drafted,Difference between highest and lowest starters,Tanking,Cuff at pickup?,KTC value difference at deal time,Link to next transaction,Link to next transaction,
