Year,(smallest) Playoff tiebreaker,PF,Avg PF,Avg margin,Margin range,Number of games within 10,Number of games within 5,UPST,PF Range,Max PF,Avg max PF,Efficiency,Increase in points from previous week,Highest starter score,Lowest starter score,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams among rostered players,Stacks,Number of rookies started,Number of rookies rostered,% of players drafted,% of 3rd year+ players drafted,Player average age,Team age including picks,Difference between highest and lowest starters,Number of donuts,Number of starting donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,% of starters boom,% of starters upper quartile,% of starters middle 50%,% of starters lower quartile,% of starters bust,Number of cuffs rostered,Number of cuffs started,Startup draft players remaining,Number of weeks missed due to injury,Number of weeks missed due to suspensions,Inseason starter turnover,Offseason starter turnover,Inseason roster turnover,Offseason roster turnover,Number of Add/Drops,Number of waiver adds,Number of free agency adds,Number of pure drops,Offseason trades,Inseason trades,Total trades,Total transactions,Amount of FAAB spent
2020,38.48,18004.56,140.6606,29.5888,111.26,19,6,18,172.38,21592.32,168.69,0.8322,-55.16,57.9,-1.2,31,65,60,26,34,87,85,30,3,5,1,2,1,2,2,2,1,1,32,32,96,24,36,59.9,62.8,26.2731,24.01609375,59.1,63,21,879,452,85,17,3,11.3,16.6,49.6,13.4,9.1,22,9,127.0,368,0,76,,125.0,,207,29,146,32,1,12,13,220,
2021,23.18,18923.46,139.1431,33.2503,119.08,14,9,23,147.72,22352.46,164.3563,0.842,-19.92,55.6,-0.32,34,59,55,21,43,100,87,31,5,6,1,2,2,3,2,2,1,1,32,33,116,23,40,53.3,54.2,26.1192,24.367941176470588,55.92,117,16,1138,460,93,12,2,11.2,17.4,46.0,16.2,9.2,25,8,119.0,634,0,64,46,96.0,138,247,30,151,66,5,10,15,262,
2022,14.42,18052.58,132.7396,29.2244,93.64,13,5,21,150.44,22270.68,163.755,0.809,-194.06,55.1,-0.6,34,68,55,25,47,103,83,36,4,6,1,2,2,3,2,3,1,2,32,33,81,27,49,39.4,27.7,25.9532,24.207720588235293,55.7,172,19,1263,418,96,9,1,10.3,13.9,50.2,15.2,10.3,29,2,91.0,497,32,79,50,133.0,138,254,57,119,78,17,21,38,292,460.0
2023,77.92,17934.74,131.8731,29.0032,84.96,15,7,23,125.92,22789.28,167.5682,0.7897,142.42,52.2,0.0,36,62,44,26,55,109,87,40,3,5,1,3,1,2,2,3,1,2,32,33,141,17,58,32.9,22.9,26.0286,24.373455882352943,52.2,147,15,1528,461,72,15,3,8.6,14.8,51.6,14.6,10.3,31,2,81.0,485,7,78,65,129.0,154,300,64,145,91,24,30,54,354,664.0
2024,59.64,20220.58,148.6807,26.5509,76.64,14,7,23,144.18,24840.06,182.6475,0.8154,197.14,55.4,-1.36,34,71,47,23,50,127,87,42,4,7,1,2,1,3,2,3,1,2,32,33,64,19,57,31.1,15.9,26.1513,24.499926470588235,56.76,281,15,1702,487,72,14,2,9.2,15.4,50.3,14.3,10.8,31,2,74.0,633,0,70,74,106.0,190,251,125,37,89,42,24,66,317,694.0
2025,94.5,19671.26,144.6416,35.1679,83.44,12,8,18,164.36,24246.3,178.2816,0.8108,-214.26,55.4,-2.5,35,68,51,31,55,117,90,46,3,6,1,3,1,3,2,4,1,2,32,33,105,30,68,28.0,17.3,25.9031,24.44610294117647,57.9,284,21,1832,458,83,10,1,9.5,13.1,50.7,15.5,11.2,43,5,54.0,695,9,68,68,101.0,206,245,142,16,87,40,22,62,307,821.0
2026,8.48,2372.52,148.2825,45.1,65.28,0,0,,116.12,2950.66,184.4162,0.809,90.26,42.5,-0.1,17,40,26,11,45,97,75,38,3,5,1,4,1,3,2,2,1,2,31,33,12,4,47,33.9,22.8,25.9969,24.42625,42.6,43,1,255,63,16,1,0,13.8,13.1,44.4,16.2,12.5,16,0,46.0,69,2,28,70,13.0,178,96,37,5,54,27,1,28,124,283.0
