Year,Week Name,Week,PF,Avg margin,Margin range,Number of games within 10,Number of games within 5,UPST,PF Range,Max PF,Efficiency,Increase in points from previous week,Highest starter score,Lowest starter score,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams among rostered players,Stacks,Number of rookies started,Number of rookies rostered,% of players drafted,% of 3rd year+ players drafted,Player average age,Team age including picks,Difference between highest and lowest starters,Number of donuts,Number of starting donuts,Number of players under 10,Number of players over 20,Number of players over 30,Number of players over 40,Number of players over 50,% of starters boom,% of starters upper quartile,% of starters middle 50%,% of starters lower quartile,% of starters bust,Number of cuffs rostered,Number of cuffs started,Startup draft players remaining,Number of Injuries,Number of suspensions,Number of players on bye,Hardship,Starter-adjusted Hardship,Starter turnover from previous week,Number of Add/Drops,Number of waiver adds,Number of free agency adds,Number of pure drops,Number of trades,Total transactions,Amount of FAAB spent
2025,Week 3,3,1095.48,27.31,68.28,2,2,,102.16,1340.5,0.8206,-106.46000000000001,32.8,0.0,16,30,26,8,41,96,74,38,3,6,1,3,1,2,2,4,1,2,10,22,6,7,61,30.5,17.0,25.865,24.384999999999998,32.8,20,1,125,23,1,0,0,6.2,13.8,55.0,16.2,8.8,6,0,59,36,2,0,357.388,167.8768,16.0,13,9,0,4,1,14,76.0
2025,Week 4,4,1221.24,34.64,74.02,1,0,1,83.66,1499.28,0.8209,125.76000000000002,36.0,2.1,16,29,25,10,39,100,75,36,3,6,1,3,1,2,2,4,1,1,10,22,5,9,62,30.0,17.1,25.7488,24.30875,33.9,21,0,111,29,6,0,0,7.5,20.0,52.5,15.0,5.0,11,0,57,37,1,0,340.852,151.508,14.0,10,8,1,1,2,12,32.0
2025,Week 5,5,1301.88,31.78,73.92,1,0,1,81.5,1503.02,0.8661,80.63999999999999,31.6,0.0,15,33,23,9,40,96,77,37,3,6,1,3,1,3,2,4,1,1,10,22,5,13,62,30.0,17.2,25.8162,24.3675,31.6,16,1,86,28,4,0,0,11.2,13.8,63.7,5.0,6.2,13,1,60,37,1,30,415.48,227.8368,21.0,12,9,2,1,0,12,23.0
2025,Week 6,6,1134.14,18.205,17.24,1,0,2,41.74,1380.14,0.8235,-167.74,35.8,0.0,15,32,22,11,39,96,77,39,3,6,1,3,1,2,2,4,1,2,10,23,6,11,61,29.5,17.2,25.8675,24.40625,35.8,21,2,120,26,9,0,0,11.4,13.9,40.5,22.8,11.4,14,0,58,40,1,15,462.1633,257.882,21.0,14,11,1,2,4,18,23.0
2025,Week 7,7,1225.14,33.045,62.38,1,1,0,103.0,1554.22,0.7818,91.00000000000001,39.1,0.0,16,32,21,11,39,97,75,39,3,6,1,3,1,2,2,4,1,2,9,23,7,8,60,29.2,17.2,25.875,24.41625,39.1,27,4,112,36,6,0,0,15.0,18.8,36.2,15.0,15.0,9,1,58,41,0,13,455.3553,254.1372,19.0,5,3,1,1,1,6,5.0
2025,Week 8,8,1237.92,24.4,66.22,2,2,2,67.1,1406.28,0.8834,12.780000000000001,37.4,0.0,14,34,20,12,40,97,76,38,3,5,1,3,1,2,2,3,1,2,10,23,5,13,60,29.1,17.1,25.92,24.46,37.4,12,2,86,28,5,0,0,7.5,21.2,52.5,8.8,10.0,6,3,58,41,0,45,447.582,247.7468,30.0,3,3,0,0,0,3,0.0
2025,Week 9,9,1203.92,28.08,59.54,1,1,1,83.1,1435.16,0.8371,-33.99999999999999,43.3,0.0,15,33,21,10,39,98,77,38,3,5,1,3,1,3,2,3,1,2,9,23,9,9,62,29.0,17.2,25.9038,24.44875,43.3,17,1,98,27,6,1,0,6.3,19.0,54.4,12.7,7.6,6,3,59,40,0,32,347.5953,149.4172,30.0,8,5,2,1,5,13,6.0
2025,Week 10,10,1163.36,51.86,56.8,0,0,1,133.74,1369.9,0.8486,-40.559999999999995,48.6,0.0,16,30,22,12,41,96,77,38,3,5,1,3,1,3,2,3,1,2,10,23,7,15,62,29.0,17.0,25.9575,24.50125,48.6,12,1,98,22,3,2,0,7.5,16.2,47.5,17.5,11.2,7,0,57,44,0,28,443.6273,217.8452,27.0,12,9,0,3,0,12,52.0
2025,Week 11,11,1058.48,43.24,55.9,0,0,1,76.44,1351.66,0.7831,-104.88,42.68,1.1,15,29,26,10,39,97,76,38,3,5,1,3,1,3,2,2,1,2,10,23,6,12,63,29.2,17.2,25.85,24.43,41.58,11,0,116,23,8,1,0,11.2,10.0,43.8,21.2,13.8,10,0,56,46,0,16,491.1593,269.7284,24.0,10,6,0,4,1,11,33.0
2025,Week 12,12,1096.28,52.91,71.88,1,1,0,112.64,1342.88,0.819,37.79999999999998,55.4,-0.52,14,29,26,11,41,97,75,37,3,5,1,3,1,2,2,2,1,1,9,23,6,11,63,28.4,17.2,25.9225,24.490000000000002,55.92,15,2,97,23,3,1,1,8.8,11.2,51.2,11.2,17.5,13,4,56,44,0,33,492.6813,293.7344,22.0,7,5,0,2,2,9,22.0
2025,Week 13,13,1046.16,20.0,3.78,0,0,3,71.22,1355.9,0.7714,-50.120000000000005,35.2,-0.1,16,30,24,10,42,96,75,37,3,5,1,3,1,2,2,2,1,1,9,23,7,14,64,28.4,17.3,25.9237,24.4975,35.3,20,2,108,25,2,0,0,5.0,8.8,57.5,15.0,13.8,9,1,55,46,0,0,416.0033,255.57,21.0,1,1,0,0,0,1,10.0
2025,Week 14,14,1047.18,32.925,16.36,0,0,1,116.44,1340.96,0.7776,1.0199999999999996,37.84,-2.5,15,29,24,12,40,94,78,39,3,5,1,3,1,2,1,2,1,1,10,24,7,11,62,27.9,17.1,25.9675,24.52625,40.34,14,1,101,22,5,0,0,8.8,2.5,52.5,18.8,17.5,6,0,56,33,0,33,303.7773,184.2376,18.0,9,6,2,1,2,11,38.0
2025,Week 15,15,1241.78,52.155,60.38,0,0,2,113.96,1514.34,0.8194,194.6,44.3,0.0,16,29,25,10,41,93,77,38,3,5,1,3,1,2,2,2,1,1,10,23,6,13,62,28.1,17.3,25.9712,24.521250000000002,44.3,22,1,107,34,7,3,0,15.2,10.1,49.4,19.0,6.3,7,1,55,45,0,0,426.1053,257.252,22.0,8,5,0,3,0,8,7.0
2025,Semifinal,16,1252.28,38.75,63.14,0,0,2,98.94,1550.74,0.8109,10.499999999999996,46.5,0.0,15,31,24,10,44,91,77,38,3,5,1,3,1,2,2,2,1,1,10,23,7,12,63,28.0,17.4,26.09,24.63,46.5,12,1,106,32,7,1,0,15.0,16.2,42.5,13.8,12.5,6,0,56,49,0,1,432.4793,274.632,15.0,7,5,1,1,0,7,4.0
2025,3rd Place,17,1060.28,33.79,16.38,0,0,1,80.16,1389.94,0.7582,-192.0,45.6,0.0,15,31,23,11,44,92,75,39,3,6,1,3,1,2,2,2,1,2,10,22,6,12,63,28.0,17.3,26.0125,24.57375,45.6,9,1,114,28,5,1,0,8.8,10.0,46.2,22.5,12.5,9,1,54,61,0,0,579.6373,353.592,13.0,5,5,0,0,0,5,27.0
2026,Week 1,1,1221.98,46.785,47.36,0,0,,112.72,1530.34,0.8,161.7,37.26,0.0,16,32,23,9,44,92,73,37,3,5,1,4,1,3,2,2,1,2,10,22,6,3,44,34.6,23.3,26.0012,24.39875,37.26,23,1,124,34,11,0,0,17.5,11.2,43.8,18.8,8.8,2,0,44,32,1,1,150.7587,53.3072,35.0,45,17,2,26,2,47,232.0
2026,Week 2,2,1150.54,43.415,65.28,0,0,,87.48,1420.32,0.818,-71.44,42.5,-0.1,16,33,23,8,43,96,74,38,2,5,1,3,1,3,2,2,1,2,10,23,6,3,46,33.9,22.8,25.9925,24.45375,42.6,20,0,131,29,5,1,0,10.0,15.0,45.0,13.8,16.2,4,0,46,37,1,1,253.8867,113.4264,14.0,9,8,1,0,0,9,42.0
