Year,Number,Player Picked,Team,Original Team,Number of starts before next transaction,Number of trades,Commissioner moved?,Avg PPG on team,Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,Avg career PPG,Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,Player addition value,Pick-adjusted Difference in Player addition value,% of starts made while rostered by drafting team,Points added,Avg points added,Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,O-Score,Age when drafted,Cuff when drafted?,Tanking,Injury adjusted % of starts made while rostered by drafting team,KTC on draft day,Pick-adjusted Difference in KTC on draft day,KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,Length of tenure on team,Weeks before first start,Link to next transaction,Link to previous transaction
2021,2.07,Kadarius Toney,Oliverwkw,Oliverwkw,2,0,False,7.78,8.2,-0.4988,5.75,6.06,-2.7305,10.1356,-3.5619,0.069,11.0,5.5,5.8,-0.3481,37.2,22.59,False,0.0015,0.1429,2589.0,-817.2179,3533.0,-366.5607,3498.0,-213.3393,2721.0,232.5938,258.0,-1761.4167,0.0,-1499.0,458.0,10,T#240,
2021,2.08,Michael Carter,LWebs53,shmuel256,0,1,False,10.05,10.08,0.819,7.77,7.79,-0.2731,10.08,-6.5548,0.0,0.0,0.0,0.0,-6.2521,32.6,22.31,False,0.0104,0.0,3448.0,-66.9286,4219.0,188.3679,2691.0,-1133.4179,1107.0,-1606.1875,956.0,-564.0417,849.0,-303.375,55.0,,T#160,T#159
2021,3.01,Mac Jones,stevenb123,stevenb123,0,0,False,13.11,11.03,1.1697,11.27,9.48,1.2385,11.03,-7.6105,0.0,0.0,0.0,0.0,-6.4966,37.1,22.98,False,0.001,0.0,5136.0,1691.3821,5031.0,1075.7393,4337.0,597.2857,3267.0,597.8438,1033.0,-887.1667,1228.0,-146.625,281.0,,T#377,
2021,3.02,Pat Freiermuth,JacobRosenzweig,JacobRosenzweig,11,0,False,8.88,10.67,1.5282,8.88,10.67,2.1092,14.876,-7.0002,0.1294,102.4,9.31,11.19,4.7982,53.0,22.84,False,0.0019,0.1594,3235.0,-105.725,3741.0,23.425,3443.0,-88.375,3710.0,208.8125,2793.0,-33.5,2290.0,-527.375,1842.0,7,,
2021,3.03,Amon-Ra St. Brown,shmuel256,AceMatthew,63,1,False,18.07,19.06,11.0721,18.07,19.06,11.39,82.7009,67.3966,0.7412,1208.28,19.18,20.23,14.5348,99.3,21.85,False,0.0009,0.8182,2779.0,-326.375,4491.0,1429.075,4623.0,1687.125,7183.0,4106.5625,8712.0,5926.0,7370.0,4618.75,1842.0,15,,T#365
2021,3.04,Terrace Marshall,BROsenzweig,BROsenzweig,1,0,False,4.55,4.8,-1.3174,4.02,4.24,-2.4378,4.9702,-8.1374,0.0294,0.0,0.0,0.0,-3.639,20.3,21.22,False,0.005,0.0,4142.0,1186.0,2014.0,-657.575,1570.0,-825.675,1489.0,-1424.7812,816.0,-1767.5833,872.0,-1340.0,737.0,11,#230,
2021,3.05,Amari Rodgers,plehv79,plehv79,0,0,False,,,,1.57,1.65,-3.8558,,,,0.0,0.0,0.0,-2.2815,13.0,21.93,False,0.0023,,2318.0,-624.975,1196.0,-1301.525,1329.0,-916.25,537.0,-1816.9062,0.0,-1595.3333,0.0,-1414.3125,0.0,,T#300,
2021,3.06,Rhamondre Stevenson,shmuel256,LWebs53,16,1,False,12.04,12.07,6.8286,12.28,12.31,6.9048,27.9358,19.8916,0.4103,237.0,14.81,14.85,12.7267,88.5,23.51,False,-0.0007,0.5,2892.0,103.375,3325.0,759.25,3655.0,1376.6,4637.0,2565.0938,3326.0,2010.0417,2482.0,1147.5,775.0,9,T#182,T#369
2021,3.07,Chuba Hubbard,Oliverwkw,Oliverwkw,4,0,False,8.11,8.13,2.504,10.37,10.39,4.6913,18.0204,9.8199,0.2353,41.5,10.38,10.4,7.8378,83.1,22.22,True,0.002,0.2667,2057.0,-722.825,2241.0,-420.675,1589.0,-790.775,1430.0,-547.0625,2352.0,596.0833,4231.0,2044.0,378.0,3,#913,
2021,3.08,Kenny Gainwell,shmuel256,shmuel256,0,0,False,9.34,9.37,3.0287,7.13,7.15,0.7373,9.37,0.9733,0.0,0.0,0.0,0.0,-4.0322,42.5,22.46,False,0.0003,0.0,2511.0,-289.375,2349.0,-357.05,2564.0,70.025,2303.0,393.1875,1285.0,-431.0,1267.0,-443.0,59.0,,T#373,
