Player,Team,Year,Week,Week Name,Starter/Bench,Position started in (if starter),Position,Rookie?,Age,NFL team,Points,% of points (if starter),Positional scoring percentile,Difference from best startable bench (if starter),Difference from worst benchable starter (if bench),Reference player name,Difference in averages of best/worst startables over previous 5 games,Cuff adjusted difference,Player of the week?,QB of the week?,RB of the week?,WR of the week?,TE of the week?,Benchwarmer of the week?,Bench QB of the week?,Bench RB of the week?,Bench WR of the week?,Bench TE of the week?,Highest starter on team?,Lowest starter on team?,Captain?,Player of the week streak,QB of the week streak,RB of the week streak,WR of the week streak,TE of the week streak,Benchwarmer of the week streak,Bench QB of the week streak,Bench RB of the week streak,Bench WR of the week streak,Bench TE of the week streak,Highest starter on team streak,Lowest starter on team streak,Captain streak,10+ point streak,20+ point streak,30+ point streak,40+ point streak,50+ point streak,Starter boom streak,Starter upper quartile streak,Starter middle 50% streak,Starter lower quartile streak,Starter bust streak,Rostered boom streak,Rostered upper quartile streak,Rostered middle 50% streak,Rostered lower quartile streak,Rostered bust streak,Injury?,Suspension?,Bye?,Change from previous week,Change from previous 5 weeks avg,Change from career average to that point,Change from overall career average,Number of weeks on team,Number of consecutive weeks on bench before start (if starter),Number of consecutive weeks on bench before start excluding injury/bye (if starter),Total weeks as team starter,Total weeks as team starter this season,Weeks rostered by this team,Weeks rostered by this team this season,% of starts on team,% of starts on team this season,% of team points on team,% of team points on team this season,Total points as team starter,Total points as team starter this season,PPG as team starter,PPG as team starter this season,Total times highest starter on team,Total times highest starter on team this season,Total times lowest starter on team,Total times lowest starter on team this season,Total weeks on bench,Total weeks on bench this season,- Activated Cuff? (Was a player of the same nfl team/position & who averages >10 PPG more over last 5 played games injured? Only for players with avg <10 PPG),Number of transactions,Number of drops,Number of trades
A.J. Brown,plehv79,2020,11,Week 11,Bench,,WR,False,23.36,TEN,16.2,,63.5,,13.8,Ronald Jones,2.56,2.56,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,In Progress,0,0,0,0,,,,,,0,0,1,0,0,False,False,False,13.1,-0.9399999999999977,-0.3428571428571452,-0.17058823529411882,11,,,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2020,12,Week 12,Starter,WR1,WR,False,23.38,TEN,25.8,0.1114,89.5,7.38,,Baker Mayfield,-5.17,-5.17,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,False,False,False,9.600000000000001,9.979999999999999,9.3,9.429411764705883,12,1.0,1.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2020,13,Week 13,Starter,WR2,WR,False,23.4,TEN,8.7,0.0561,29.2,-20.76,,Baker Mayfield,-2.24,-2.24,False,False,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,False,False,False,-17.1,-6.82,-8.833333333333336,-7.670588235294119,13,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2020,14,Week 14,Starter,WR2,WR,False,23.42,TEN,24.2,0.1296,87.1,-3.82,,Baker Mayfield,-1.56,-1.56,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,In Progress,1,0,0,0,0,1,0,0,0,0,1,0,0,0,False,False,False,15.5,9.419999999999998,7.550000000000001,7.829411764705881,14,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2020,15,Semifinal,Starter,WR2,WR,False,23.44,TEN,15.4,0.1018,60.1,-13.8,,David Montgomery,3.32,3.32,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,In Progress,0,0,0,0,In Progress,0,0,False,False,False,-8.799999999999999,-0.1999999999999993,-1.9363636363636356,-0.9705882352941178,15,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2020,16,3rd Place,Starter,WR2,WR,False,23.46,TEN,8.3,0.0664,27.3,-17.6,,AJ Dillon,-15.86,-15.86,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,In Progress,0,0,0,0,In Progress,0,0,False,False,False,-7.1,-9.760000000000002,-8.875,-8.070588235294117,16,0.0,0.0,In Progress,12,In Progress,16,In Progress,0.75,In Progress,0.0824,In Progress,198.2,In Progress,16.52,In Progress,1,In Progress,2,In Progress,4,0,0,0,0
A.J. Brown,plehv79,2021,1,Week 1,Starter,WR3,WR,False,24.17,TEN,14.9,0.0796,57.8,-9.4,,Sterling Shepard,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,3,0,0,False,False,False,6.6,-1.58,-1.5923076923076938,-1.4705882352941178,17,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,2,Week 2,Starter,WR3,WR,False,24.19,TEN,7.3,0.0626,23.0,-16.96,,Kirk Cousins,7.14,7.14,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,False,False,False,-7.6000000000000005,-7.000000000000001,-9.07857142857143,-9.070588235294117,18,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,3,Week 3,Starter,WR3,WR,False,24.21,TEN,0.3,0.0022,1.6,-23.82,,Kirk Cousins,12.05,12.05,False,False,False,False,False,True,False,False,False,False,False,True,False,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,False,False,False,-7.0,-13.72,-15.473333333333334,-16.070588235294117,19,0.0,0.0,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
A.J. Brown,plehv79,2021,4,Week 4,Bench,,WR,False,24.23,TEN,0.0,,,,-2.1,Mike Williams,-18.33,-18.33,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,,,,,20,,,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,0,0,0,0
