Team,All time win %,Regular season record,Regular season win %,Playoff record,Playoff win %,Toilet bowl record,Toilet bowl win %,Third place game record,Toilet losers game record,All time record,Championships,Number of playoff appearances,Number of championship appearances,Number of last place finishes,Win Variance,Differential,Avg differential,All-play win %,All-play win % minus Win %,Playoff PF minus regular-season PF,Playoff win % minus regular-season win %,Highest Win % vs a team,Team for highest Win %,Lowest Win % vs a team,Team for lowest Win %,Win % vs playoff teams,Win % vs non-playoff teams,Win % vs champions,Win % vs last place,Record vs playoff teams,Record vs non-playoff teams,Record vs champions,Record vs last place,Win % vs AceMatthew,Win % vs BROsenzweig,Win % vs JacobRosenzweig,Win % vs LWebs53,Win % vs Oliverwkw,Win % vs plehv79,Win % vs shmuel256,Win % vs stevenb123,Record vs AceMatthew,Record vs BROsenzweig,Record vs JacobRosenzweig,Record vs LWebs53,Record vs Oliverwkw,Record vs plehv79,Record vs shmuel256,Record vs stevenb123,Points,Avg points,Points against,Avg points against,Max PF,Avg max PF,Efficiency,Drafting skill,Trading skill,Transaction skill,Times Brosenzweig,Times Sisenzweig,Times Highest score?,Times Lowest score?,Times Narrowest victory?,Times Largest blowout?,Times Most efficient?,Times Least efficient?,Times Top half of league?,Times One-man army?,Times Most bench points?,Times Most injured?,Average weekly starter turnover,Average weekly roster turnover,Number of QB started,Number of WR started,Number of RB started,Number of TE started,Number of QB rostered,Number of WR rostered,Number of RB rostered,Number of TE rostered,Most number of players started from same NFL team,Most number of players rostered from same NFL team,Most number of QBs started from same NFL team,Most number of QBs rostered from same NFL team,Most number of RBs started from same NFL team,Most number of RBs rostered from same NFL team,Most number of WR started from same NFL team,Most number of WR rostered from same NFL team,Most number of TE started from same NFL team,Most number of TE rostered from same NFL team,Number of NFL teams among starting players,Number of NFL teams among rostered players,Number of rookies started,Number of rookies rostered,Player average age,Team age including picks,Difference between highest and lowest starters,Number of donuts,Number of starter donuts,Number of players under 10,Number of starters under 10,Number of players over 20,Number of starters over 20,Number of players over 30,Number of starters over 30,Number of players over 40,Number of starters over 40,Number of players over 50,Number of starters over 50,% of starters boom,% of starters upper quartile,% of starters middle 50%,% of starters lower quartile,% of starters bust,Number of cuffs rostered,Number of cuffs started,Startup draft players remaining,Tanking,Weeks of injuries,Weeks suspensions,Weeks of starter injuries,Weeks of starter suspensions,Hardship,Starter-adjusted Hardship,Avg yearly luck,Losses from hardship,Draft Value,3-year roster retention rate,Number of first round picks made,Total number of picks made,Offseason starter turnover,Inseason starter turnover,Offseason roster turnover,Inseason roster turnover,Number of transactions,Offseason trades,Inseason trades,Total trades,Amount of FAAB spent,Future draft capital
AceMatthew,0.4752,41-48,0.4607,1-1,0.5,4-4,0.5,0-0,2-0,48-53,0,1,1,0,-0.0833,-625.9,-6.2,0.4809,0.0057,28.51,0.0393,0.625,JacobRosenzweig,0.4118,shmuel256,0.3077,0.6531,0.2143,0.7647,16-36,32-17,3-11,13-4,,0.4286,0.625,0.5,0.4615,0.5,0.4118,0.4118,,6-8,10-6,6-6,6-7,6-6,7-10,7-10,13730.02,135.94,14355.92,142.14,17173.24,170.03,0.7995,43.9,47.0,39.1,1,4,15,17,12,9,11,23,48,15,12,20,2.6386,1.49,12,33,24,12,21,67,51,19,3,4,1,2,1,3,2,3,1,2,31,32,13,35,26.2377,24.26029702970297,48.6,60,13,955,308,342,233,59,47,6,5,0,0,8.1,14.8,50.5,16.0,10.6,30,7,3,0.3897,515,0,284,0,5636.0533,2524.0822,-0.7099,6,5.2103,0.2123,10,28,7.5,8.8571,14.8333,12.0,206,25,23,48,359.0,15.79
BROsenzweig,0.5149,48-41,0.5393,0-3,0.0,2-3,0.4,1-2,1-0,52-49,0,3,0,0,-0.25,450.54,4.46,0.5431,0.0282,-10.7,-0.3727,0.8125,plehv79,0.1538,shmuel256,0.3462,0.6939,0.1667,0.7857,18-34,34-15,2-10,11-3,0.5714,,0.6667,0.3333,0.5333,0.8125,0.1538,0.4375,8-6,,10-5,4-8,8-7,13-3,2-11,7-9,14333.1,141.91,13882.56,137.45,17486.0,173.13,0.8197,49.4,48.7,38.3,1,1,16,10,10,22,15,12,54,21,11,15,2.1,1.3971,11,30,25,12,21,56,36,19,3,4,1,2,1,2,1,2,1,2,29,33,10,23,26.8274,24.980495049504952,53.3,82,13,976,315,354,246,75,65,13,13,5,5,10.9,14.4,49.0,15.0,10.7,24,6,3,0.1551,465,6,238,6,4895.6627,2710.7988,-0.6965,11,2.6369,0.1837,4,15,4.5,6.8571,15.0,12.7143,240,35,24,59,256.0,12.73
JacobRosenzweig,0.297,24-65,0.2697,0-0,,5-4,0.5556,0-0,1-2,30-71,0,0,0,3,-0.1667,-1306.32,-12.93,0.3479,0.0509,,,0.375,AceMatthew,0.1538,shmuel256,0.1765,0.42,0.2143,0.4167,9-42,21-29,3-11,5-7,0.375,0.3333,,0.3333,0.3125,0.2308,0.1538,0.3077,6-10,5-10,,5-10,5-11,3-10,2-11,4-9,13072.08,129.43,14378.4,142.36,16260.06,160.99,0.8039,46.2,51.2,44.0,1,2,3,20,7,6,10,15,31,12,6,24,1.97,0.5986,11,23,17,9,14,36,21,12,2,3,1,3,1,2,2,3,1,1,31,32,14,26,26.3578,24.09168316831683,51.7,49,16,919,339,297,202,44,35,7,7,1,1,8.4,12.5,50.3,18.5,10.4,18,2,0,0.3972,502,0,282,0,5180.337,2349.6359,-0.855,12,7.7453,0.2121,6,25,6.6667,7.8571,13.5,4.1429,80,19,15,34,66.0,14.64
LWebs53,0.5842,52-37,0.5843,5-2,0.7143,0-2,0.0,1-0,1-1,59-42,2,4,3,0,-0.3333,482.88,4.78,0.5516,-0.0326,15.97,0.1657,0.7059,plehv79,0.3125,shmuel256,0.4706,0.7,0.3636,0.6154,24-27,35-15,4-7,8-5,0.5,0.6667,0.6667,,0.6429,0.7059,0.3125,0.6,6-6,8-4,10-5,,9-5,12-5,5-11,9-6,14585.24,144.41,14102.36,139.63,17676.7,175.02,0.8251,55.9,47.6,32.9,3,3,17,7,19,15,11,6,55,8,18,21,2.4914,2.5371,22,28,42,13,31,88,81,25,4,6,1,2,2,3,2,3,1,2,31,33,9,44,27.1503,25.8629702970297,51.0,63,6,960,276,367,261,73,62,14,12,1,1,11.6,16.8,48.0,14.2,9.4,50,15,1,0.0453,487,0,269,0,4992.108,2223.1404,-0.1642,10,5.1257,0.0526,4,26,6.1667,8.2857,20.3333,16.4286,458,38,29,67,383.0,9.65
Oliverwkw,0.5149,45-44,0.5056,1-4,0.2,4-0,1.0,2-1,0-0,52-49,0,4,1,1,0.0,313.18,3.1,0.5361,0.0212,-3.84,-0.1306,0.6875,JacobRosenzweig,0.3571,LWebs53,0.2857,0.7308,0.2,0.8333,14-35,38-14,3-12,10-2,0.5385,0.4667,0.6875,0.3571,,0.625,0.4286,0.4615,7-6,7-8,11-5,5-9,,10-6,6-8,6-7,14432.88,142.9,14119.7,139.8,17193.0,170.23,0.8395,49.7,47.1,34.2,4,1,14,11,10,15,19,11,55,10,8,22,2.2014,1.4829,14,34,26,13,28,59,52,23,3,4,1,2,1,2,2,2,1,2,29,31,22,54,25.468,23.742574257425744,46.8,64,14,1017,294,342,271,56,53,6,5,1,0,11.4,15.6,48.3,14.0,10.6,39,14,1,0.3063,504,9,266,9,4995.6907,2692.3121,-0.526,10,6.7328,0.1621,8,34,5.5,6.8571,18.0,12.4286,231,30,36,66,280.0,13.39
plehv79,0.4455,42-47,0.4719,1-4,0.2,0-2,0.0,1-2,1-1,45-56,0,4,1,0,0.9167,-644.66,-6.38,0.4371,-0.0084,7.15,-0.2219,0.7692,JacobRosenzweig,0.1875,BROsenzweig,0.3137,0.58,0.2143,0.8182,16-35,29-21,3-11,9-2,0.5,0.1875,0.7692,0.2941,0.375,,0.7143,0.3846,6-6,3-13,10-3,5-12,6-10,,10-4,5-8,13462.22,133.29,14106.88,139.67,16351.72,161.9,0.8233,52.2,45.6,44.4,2,3,8,17,13,10,11,9,42,16,7,15,1.9271,1.1757,10,34,24,17,12,52,57,23,3,6,1,2,1,2,2,4,1,1,30,32,27,58,25.0977,23.67940594059406,53.4,107,22,1055,311,297,221,55,48,7,5,2,2,8.8,14.1,51.8,14.0,11.4,26,6,1,0.3819,499,10,279,10,4949.831,2669.4879,-0.1499,13,5.7754,0.1674,5,26,8.1667,6.8571,20.5,11.0,175,39,23,62,520.0,15.79
shmuel256,0.6139,54-35,0.6067,5-2,0.7143,3-1,0.75,0-1,0-0,62-39,2,4,3,0,-0.5,1150.7,11.39,0.5771,-0.0368,15.45,0.0183,0.8462,BROsenzweig,0.2857,plehv79,0.4792,0.7358,0.2,0.8333,23-25,39-14,2-8,10-2,0.5882,0.8462,0.8462,0.6875,0.5714,0.2857,,0.5,10-7,11-2,11-2,11-5,8-6,4-10,,7-7,14871.9,147.25,13721.2,135.85,18334.84,181.53,0.8111,43.1,47.9,36.7,2,3,16,7,14,14,16,14,60,7,28,8,2.1643,1.5343,21,30,30,12,26,62,56,19,5,7,1,3,1,3,2,3,1,2,31,31,18,45,26.6872,24.41227722772277,48.3,45,8,962,262,394,273,77,56,14,10,1,1,11.3,16.9,49.1,13.4,9.4,30,5,0,0.2027,393,19,255,19,5379.4463,2642.014,-1.0648,11,3.9773,0.1401,3,19,5.5,8.8571,14.0,16.7143,237,42,54,96,302.0,14.66
stevenb123,0.5545,50-39,0.5618,5-2,0.7143,0-2,0.0,1-0,0-2,56-45,2,4,3,2,0.4167,179.58,1.78,0.5262,-0.0283,22.68,0.1882,0.6923,JacobRosenzweig,0.4,LWebs53,0.42,0.6863,0.2727,0.7,21-29,35-16,3-8,7-3,0.5882,0.5625,0.6923,0.4,0.5385,0.6154,0.5,,10-7,9-7,9-4,6-9,7-6,8-5,7-7,,14319.74,141.78,14140.16,140.0,17615.54,174.41,0.8129,48.5,43.8,35.0,2,4,12,12,16,10,8,11,59,12,11,12,2.2657,2.0271,14,38,32,13,30,82,65,30,3,5,1,2,2,3,1,3,1,2,28,33,29,73,24.7291,23.54732673267327,51.9,92,15,996,291,343,252,62,54,10,9,1,1,10.3,14.6,51.8,14.1,9.2,42,11,0,0.3306,465,4,195,0,3981.3533,1780.5288,0.729,11,7.8024,0.0975,8,29,6.5,7.7143,21.5,13.1429,351,60,37,97,470.0,9.75
