Player,Top team,Last team,Number of teams,Taxi-eligible,Points,Points (full career),Avg points,Avg points (full career),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of Add/Drops,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Championships rostered by,Championships started by,Championships started in,Total points as starter,% of league points,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
AJ Dillon,LWebs53,Oliverwkw,6,False,497.8,533.9,7.429850746268657,7.7377,8.7333,0,0,0,0,0,0,0,3,0,0,0,2,0,2,2,4,6.62,7.3,22.1,0.0,0.0,25.0,50.0,25.0,31.79,7.95,6.87,-1.2,26.8,1.8,35.1,8.8,33.3,21.1,38.9,3.3,66.7,60.9,78.6,48.9,6,0,4,63,67,0.0597,,0.6418,2,1,0,54.8,0.0005,13.7,13.7,7.0317,8.3585,5.3415
Albert Okwuegbunam,plehv79,plehv79,1,False,12.0,139.2,2.4,5.3538,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,3.43,0.0,8.3,0.0,80.0,0.0,20.0,0.0,87.0,38.6,18.2,,,,0,0,0,5,5,0.0,,0.0,0,0,0,0.0,0.0,,,2.4,2.4,-2.4
Alec Pierce,Oliverwkw,stevenb123,4,False,426.8,563.6,6.99672131147541,8.5394,7.76,0,0,0,0,0,0,0,0,2,0,0,2,0,6,3,1,6.56,3.6,18.1,0.0,25.0,0.0,25.0,50.0,13.63,3.41,6.74,0.0,24.6,0.0,34.5,5.5,32.7,27.3,41.6,38.0,60.0,67.6,70.3,34.0,2,0,4,57,61,0.0656,,0.5738,0,0,0,33.8,0.0003,8.45,8.45,6.8947,7.7059,0.7441
Alex Collins,Oliverwkw,Oliverwkw,1,False,45.300000000000004,198.5,6.471428571428572,8.2708,7.55,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,4.92,3.6,16.8,0.0,33.3,0.0,33.3,33.3,68.4,88.7,41.3,,,,0,0,0,7,7,0.0,,0.8571,0,0,0,0.0,0.0,,,6.4714,7.55,-7.55
Alexander Mattison,LWebs53,LWebs53,4,False,502.8,644.7,6.131707317073171,7.0076,7.287,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,4,8.35,3.6,26.3,8.3,41.7,16.7,25.0,8.3,59.89,4.99,6.24,-0.1,26.3,1.4,49.3,2.9,30.4,15.9,53.2,15.1,64.6,24.5,55.4,62.1,8,0,12,70,82,0.1463,0.75,0.5976,2,1,0,140.8,0.0012,11.7333,11.7333,5.1714,6.3509,5.3824
Allen Lazard,LWebs53,shmuel256,3,False,375.3,766.2,8.158695652173913,8.3283,11.0382,0,0,0,0,0,0,0,0,0,0,1,2,0,9,5,2,6.56,1.7,23.4,0.0,14.3,14.3,57.1,14.3,34.12,4.87,6.1,1.7,26.4,2.9,14.7,2.9,58.8,20.6,54.5,76.2,63.6,67.6,50.0,50.7,10,0,7,39,46,0.1522,0.4286,0.6739,2,1,0,79.1,0.0007,11.3,11.3,7.5949,10.9704,0.3296
Allen Robinson,Oliverwkw,BROsenzweig,4,False,426.6,956.0,8.049056603773586,10.5055,10.9385,0,0,0,0,0,0,0,0,0,0,2,3,0,3,2,2,7.93,1.7,28.3,14.3,9.5,14.3,52.4,9.5,167.17,7.96,7.49,0.0,28.3,7.7,17.9,7.7,46.2,20.5,27.1,38.0,67.8,39.1,50.0,59.3,11,0,21,32,53,0.3962,0.3333,0.4906,1,1,1,296.4,0.0026,14.1143,14.1143,4.0687,7.2333,6.881
Alvin Kamara,shmuel256,Oliverwkw,3,False,1397.2,2111.42,13.56504854368932,18.2019,17.465,5,0,8,0,0,0,0,0,0,0,13,8,3,0,0,5,10.53,0.0,56.2,17.4,2.9,17.4,46.4,15.9,802.03,11.46,10.29,0.7,56.2,15.0,3.8,16.2,46.2,18.8,3.2,59.2,100.0,7.3,6.1,100.0,14,3,70,33,103,0.6796,0.6571,0.6214,3,3,2,1286.0,0.0112,18.3714,18.6377,3.3697,10.1091,8.5286
Amari Cooper,BROsenzweig,BROsenzweig,2,False,1002.9,1569.5,11.939285714285713,13.7675,13.5527,2,0,0,2,0,2,0,0,0,0,7,8,1,1,1,2,10.1,0.0,51.5,8.1,14.5,19.4,38.7,19.4,513.44,8.15,9.57,0.0,51.5,6.8,16.2,16.2,41.9,18.9,5.4,38.0,98.8,10.2,19.3,98.0,5,0,63,21,84,0.75,0.5556,0.5357,0,0,0,889.4,0.0077,14.1175,14.3452,5.4048,9.4583,4.8869
Amari Rodgers,stevenb123,JacobRosenzweig,3,False,6.1,42.7,0.3588235294117647,1.2939,0.4067,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,,,,,,,,1.07,-1.0,2.9,0.0,100.0,0.0,0.0,0.0,93.7,3.2,9.6,,,,1,0,0,17,17,0.0,,0.7059,1,0,0,0.0,0.0,,,0.3588,0.4067,-0.4067
