Player,Top team,Last team,Number of teams,Taxi-eligible,Points,Points (full career),Avg points,Avg points (full career),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of Add/Drops,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Championships rostered by,Championships started by,Championships started in,Total points as starter,% of league points,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
Denzel Mims,Oliverwkw,stevenb123,3,False,58.199999999999996,111.6,3.6374999999999997,3.9857,7.275,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,,,,,,,,,,,3.58,0.0,10.7,0.0,12.5,0.0,62.5,25.0,78.8,38.0,26.4,,,,7,0,0,16,16,0.0,,0.625,1,0,0,0.0,0.0,,,3.6375,7.275,-7.275
Deon Jackson,LWebs53,LWebs53,2,False,37.6,97.6,12.533333333333333,5.7412,12.5333,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,0,,5.6,5.6,0.0,0.0,0.0,0.0,100.0,0.9,0.9,13.51,3.9,28.1,33.3,33.3,0.0,0.0,33.3,1.1,90.1,72.2,,71.8,11.8,0,0,1,2,3,0.3333,,,1,0,0,5.6,0.0,5.6,5.6,16.0,16.0,-10.4
Derek Carr,AceMatthew,AceMatthew,3,False,981.1,1572.7,12.418987341772151,14.562,14.4279,0,1,0,0,0,0,5,0,0,0,3,3,1,4,2,3,6.81,0.6,31.74,2.7,16.2,0.0,45.9,35.1,131.6,3.56,6.49,0.6,31.74,1.5,14.7,2.9,54.4,26.5,72.9,65.3,67.4,64.4,19.1,60.3,7,0,37,42,79,0.4684,0.3784,0.4051,0,0,0,496.32,0.0043,13.4141,13.4141,11.5424,15.6381,-2.224
Derek Watt,Oliverwkw,Oliverwkw,1,False,,41.6,,0.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Derrick Henry,BROsenzweig,stevenb123,3,False,1624.92,2360.8,15.775922330097089,18.0214,18.465,5,0,10,0,0,2,0,0,0,0,13,8,3,0,0,2,10.23,1.3,47.7,17.3,4.9,23.5,40.7,13.6,953.17,11.77,9.99,1.3,47.7,15.9,5.7,23.9,42.0,12.5,5.8,67.7,96.2,8.2,22.1,95.0,9,0,81,22,103,0.7864,0.6173,0.5922,2,2,1,1517.84,0.0132,18.7388,18.7388,4.8673,15.2971,3.4417
Deshaun Watson,plehv79,LWebs53,2,False,573.02,1341.42,6.741411764705882,18.8932,16.8535,0,3,0,0,0,0,0,0,0,0,4,1,0,3,2,0,7.32,5.34,33.12,13.6,4.5,13.6,59.1,9.1,183.53,8.34,7.72,-1.8,33.12,8.8,8.8,8.8,55.9,17.6,47.6,10.5,72.6,54.2,66.2,66.2,36,10,22,63,85,0.2588,0.5,0.4588,0,0,0,425.14,0.0037,19.3245,19.3245,2.3473,12.3233,7.0012
Desmond Ridder,JacobRosenzweig,AceMatthew,2,False,178.36,230.78,5.245882352941177,9.6158,5.5738,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,,13.8,13.8,0.0,0.0,0.0,100.0,0.0,2.78,2.78,7.49,-1.32,26.16,0.0,65.6,3.1,12.5,18.8,54.1,14.7,49.5,,91.2,13.2,0,0,1,33,34,0.0294,,0.2353,0,0,0,13.8,0.0001,13.8,13.8,4.9867,5.3084,8.4916
Deuce Vaughn,stevenb123,BROsenzweig,2,False,15.0,26.8,0.8823529411764706,2.4364,2.1429,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,0,,0.0,0.0,,,,,,-6.03,-6.03,1.96,0.0,6.2,0.0,85.7,0.0,0.0,14.3,88.9,29.5,16.0,,6.1,1.8,9,0,1,16,17,0.0588,,0.2941,0,0,0,0.0,0.0,0.0,,0.9375,2.1429,-2.1429
DeVante Parker,AceMatthew,AceMatthew,3,False,247.89999999999998,750.2,7.082857142857142,10.0027,10.3292,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,6.28,0.0,21.0,0.0,11.1,11.1,66.7,11.1,54.84,6.09,6.19,0.0,21.0,0.0,16.7,4.2,62.5,16.7,51.5,38.0,49.2,71.1,19.3,43.3,9,0,9,26,35,0.2571,0.5556,0.4857,1,1,0,107.3,0.0009,11.9222,11.9222,5.4077,9.3733,2.5489
Devaughn Vele,LWebs53,shmuel256,2,False,120.5,204.1,6.342105263157895,8.164,8.0333,0,0,0,0,0,0,0,0,0,0,0,2,0,7,3,0,5.02,2.6,14.0,0.0,25.0,0.0,50.0,25.0,12.31,3.08,5.6,0.0,19.9,0.0,33.3,6.7,40.0,20.0,59.7,38.0,46.4,82.0,60.3,26.7,3,0,4,15,19,0.2105,,0.5263,1,1,0,35.0,0.0003,8.75,8.75,5.7,7.7727,0.9773
Deven Thompkins,Oliverwkw,Oliverwkw,1,False,,57.0,,1.5405,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Devin Duvernay,stevenb123,stevenb123,1,False,72.6,279.5,7.26,2.9115,8.0667,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,,1.5,1.5,0.0,100.0,0.0,0.0,0.0,-3.43,-3.43,5.41,1.5,16.4,0.0,33.3,0.0,55.6,11.1,61.9,72.8,38.2,,45.0,2.7,0,0,1,9,10,0.1,,0.7,0,0,0,1.5,0.0,1.5,1.5,7.9,8.8875,-7.3875
Devin Neal,Oliverwkw,Oliverwkw,3,False,60.0,60.0,3.5294117647058822,6.6667,5.4545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3.09,9.9,15.4,0.0,0.0,0.0,100.0,0.0,16.07,5.36,5.43,0.0,15.4,0.0,54.5,0.0,36.4,9.1,62.6,29.5,38.9,92.7,89.3,32.9,5,0,3,14,17,0.1765,,0.2941,0,0,0,35.5,0.0003,11.8333,11.8333,1.75,3.0625,8.7708
Devin Singletary,JacobRosenzweig,Oliverwkw,4,False,710.04,1164.54,8.554698795180723,9.4678,9.3426,0,0,0,0,0,0,0,0,0,0,1,1,0,9,5,2,5.38,5.0,23.0,0.0,7.7,7.7,69.2,15.4,92.87,7.14,6.12,0.0,24.1,0.0,31.6,6.6,42.1,19.7,54.2,29.5,55.9,74.5,67.5,51.4,2,0,13,70,83,0.1566,0.2308,0.4217,1,0,0,172.3,0.0015,13.2538,13.2538,7.682,8.5356,4.7182
Devine Ozigbo,stevenb123,stevenb123,1,False,,26.7,,1.9071,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Devonta Freeman,BROsenzweig,LWebs53,4,False,133.8,392.3,5.575,10.6027,9.5571,0,0,0,0,0,0,0,1,0,0,0,0,0,10,5,1,,,,,,,,,,,6.51,0.8,20.7,0.0,28.6,7.1,42.9,21.4,48.2,60.6,49.1,,,,9,0,0,24,24,0.0,,0.625,2,0,0,0.0,0.0,,,5.575,9.5571,-9.5571
DeVonta Smith,AceMatthew,AceMatthew,2,False,1076.0,1236.5,12.367816091954023,13.4402,13.6203,0,0,0,0,0,0,0,0,3,0,2,4,0,0,0,2,7.21,0.8,31.3,4.6,10.8,12.3,53.8,18.5,486.9,7.49,7.99,0.0,33.3,7.6,10.1,13.9,49.4,19.0,22.1,38.0,83.6,49.2,37.3,70.3,3,0,65,22,87,0.7471,0.4462,0.4943,0,0,0,848.1,0.0074,13.0477,13.0477,10.3591,16.2786,-3.2309
Devontae Booker,AceMatthew,AceMatthew,3,False,118.2,328.2,9.092307692307692,5.8607,9.85,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,4.99,6.1,17.5,0.0,0.0,0.0,75.0,25.0,27.81,6.95,4.56,3.0,17.5,0.0,16.7,0.0,58.3,25.0,71.6,84.0,43.4,78.2,74.3,37.9,0,0,4,9,13,0.3077,,0.3846,0,0,0,53.4,0.0005,13.35,13.35,7.2,8.1,5.25
Dexter Williams,LWebs53,LWebs53,1,False,0.0,1.9,0.0,0.6333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,29.5,1.7,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,0.0,0.0,0.0
Dez Bryant,LWebs53,LWebs53,1,False,,22.7,,3.7833,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Dez Fitzpatrick,LWebs53,LWebs53,1,False,0.0,15.9,0.0,3.975,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,0.0,,
Dillon Gabriel,plehv79,plehv79,1,False,70.08,70.08,4.12235294117647,7.008,5.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,20.08,20.08,0.0,0.0,0.0,100.0,0.0,9.14,9.14,6.73,0.0,20.08,0.0,71.4,0.0,14.3,14.3,68.2,47.4,31.6,,98.5,27.9,2,0,1,16,17,0.0588,,0.3529,0,0,0,20.08,0.0002,20.08,20.08,3.125,3.8462,16.2338
Dion Lewis,stevenb123,stevenb123,1,False,2.0,286.4,2.0,5.8449,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,2.0,2.0,0.0,100.0,0.0,0.0,0.0,,75.7,7.1,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,2.0,2.0,-2.0
Diontae Johnson,AceMatthew,AceMatthew,3,False,860.1,1125.9,10.239285714285714,12.238,12.4652,0,0,0,0,0,0,0,0,2,0,1,3,0,1,1,2,6.52,0.9,30.5,2.7,8.1,18.9,62.2,8.1,267.55,7.23,7.74,0.0,30.5,4.3,18.8,18.8,50.7,7.2,24.2,38.0,76.8,68.8,38.3,67.3,11,0,37,47,84,0.4405,0.4865,0.4881,0,0,0,492.0,0.0043,13.2973,13.2973,7.8319,11.5031,1.7942
DJ Chark,shmuel256,BROsenzweig,3,False,315.3,671.0,6.063461538461539,9.3194,9.5545,0,0,0,0,0,0,0,0,2,0,0,1,0,9,5,0,3.47,3.6,12.4,0.0,20.0,0.0,80.0,0.0,10.91,2.18,7.6,0.0,29.5,6.1,27.3,3.0,42.4,21.2,26.0,38.0,72.2,88.3,70.3,25.3,16,0,5,47,52,0.0962,0.8,0.4808,2,1,0,45.2,0.0004,9.04,9.04,5.7468,9.6464,-0.6064
DJ Giddens,BROsenzweig,BROsenzweig,1,False,6.6,9.6,0.34736842105263155,1.92,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1.53,0.0,4.1,0.0,100.0,0.0,0.0,0.0,92.1,29.5,13.0,,,,10,0,0,19,19,0.0,,0.6316,0,0,0,0.0,0.0,,,0.3474,0.825,-0.825
DJ Moore,AceMatthew,AceMatthew,2,False,1295.08,1782.18,12.573592233009707,13.2013,13.4904,0,0,0,0,0,1,0,0,2,0,6,5,0,0,0,1,9.07,-0.1,49.0,10.7,7.1,16.1,50.0,16.1,438.46,7.83,8.47,-0.1,49.0,8.3,9.4,18.8,47.9,15.6,15.4,9.0,98.4,20.3,3.7,97.3,1,0,56,47,103,0.5437,0.4821,0.5437,0,0,0,773.9,0.0067,13.8196,13.8196,11.0889,13.0295,0.7901
DK Metcalf,BROsenzweig,stevenb123,3,False,1320.7,1654.3,12.822330097087379,13.9017,14.2011,1,0,0,2,0,0,0,0,0,0,5,4,1,0,0,2,7.5,1.3,40.1,9.4,4.7,10.6,61.2,14.1,708.47,8.33,7.48,1.3,40.1,8.6,4.3,12.9,58.1,16.1,27.7,70.8,93.0,46.9,42.3,90.3,4,0,85,18,103,0.8252,0.4588,0.466,0,0,0,1210.1,0.0105,14.2365,14.2365,6.1444,13.825,0.4115
Donald Parham,AceMatthew,AceMatthew,1,False,,217.7,,4.8378,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Donovan Peoples-Jones,shmuel256,stevenb123,5,False,153.5,366.8,6.673913043478261,6.0131,7.3095,0,0,0,0,0,0,0,0,0,0,0,1,0,14,7,0,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-5.13,-5.13,6.06,0.0,19.4,0.0,47.6,0.0,47.6,4.8,55.0,38.0,45.6,,19.3,1.0,1,0,1,22,23,0.0435,,0.4348,1,1,0,0.0,0.0,0.0,0.0,6.9773,7.675,-7.675
Dont'e Thornton,plehv79,plehv79,2,False,23.5,23.5,1.3823529411764706,2.1364,1.6786,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,,,,,,,,,,,2.12,0.0,6.5,0.0,85.7,0.0,0.0,14.3,88.3,38.0,17.2,,,,2,0,0,17,17,0.0,,0.1765,0,0,0,0.0,0.0,,,1.3824,1.6786,-1.6786
Dontayvion Wicks,BROsenzweig,BROsenzweig,4,False,225.70000000000002,348.16,5.6425,6.9632,6.4486,0,0,0,0,0,0,0,0,2,0,0,2,0,9,4,1,2.31,0.0,4.0,0.0,100.0,0.0,0.0,0.0,-7.74,-2.58,6.49,0.0,28.0,2.9,54.3,2.9,28.6,11.4,46.3,38.0,66.4,97.7,19.3,7.3,3,0,3,37,40,0.075,,0.45,0,0,0,8.0,0.0001,2.6667,2.6667,5.8838,6.8031,-4.1364
Dontrell Hilliard,Oliverwkw,AceMatthew,2,False,11.200000000000001,210.8,5.6000000000000005,4.216,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,6.08,1.3,9.9,0.0,50.0,0.0,50.0,0.0,55.3,67.7,27.6,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,5.6,5.6,-5.6
Dorian Thompson-Robinson,stevenb123,stevenb123,2,False,17.3,33.9,3.46,2.6077,4.325,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,,,,,,,,,,,5.11,0.0,10.46,0.0,75.0,0.0,0.0,25.0,85.9,47.4,20.0,,,,1,0,0,5,5,0.0,,0.6,2,0,0,0.0,0.0,,,3.46,4.325,-4.325
Drake London,stevenb123,stevenb123,2,False,765.48,850.08,10.935428571428572,13.2825,12.758,0,0,0,3,0,0,0,0,1,0,5,5,0,0,0,1,9.05,0.0,38.8,9.3,14.0,4.7,51.2,20.9,316.85,7.37,8.21,0.0,38.8,6.7,11.7,6.7,53.3,21.7,18.0,38.0,91.2,21.1,19.3,87.3,6,0,43,27,70,0.6143,0.5581,0.5286,1,1,1,558.7,0.0049,12.993,12.993,7.6585,12.1635,0.8295
Drake Maye,AceMatthew,AceMatthew,1,False,523.2,600.86,14.533333333333335,16.6906,15.3882,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5.64,9.82,32.44,4.8,0.0,9.5,66.7,19.0,187.77,8.94,8.22,0.0,32.44,2.9,14.7,8.8,55.9,17.6,31.8,47.4,69.5,74.6,82.4,63.2,0,0,21,15,36,0.5833,0.7143,0.6111,0,0,0,394.96,0.0034,18.8076,18.8076,8.5493,9.8646,8.943
Drew Allar,LWebs53,LWebs53,1,True,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,0.0,,
Drew Brees,JacobRosenzweig,LWebs53,2,False,183.44,782.3,10.790588235294118,18.193,16.6764,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,5.43,4.94,22.68,0.0,11.1,0.0,88.9,0.0,46.4,5.16,5.98,4.94,23.68,0.0,9.1,0.0,81.8,9.1,80.0,92.6,42.1,78.0,61.8,36.8,4,0,9,8,17,0.5294,0.5556,0.3529,0,0,0,151.62,0.0013,16.8467,16.8467,3.9775,15.91,0.9367
Drew Lock,shmuel256,shmuel256,2,False,4.98,424.74,2.49,10.6185,2.49,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,0,,4.98,4.98,0.0,100.0,0.0,0.0,0.0,-2.16,-2.16,3.52,0.0,4.98,0.0,100.0,0.0,0.0,0.0,90.6,47.4,12.6,,63.2,7.4,0,0,1,1,2,0.5,,,1,1,0,4.98,0.0,4.98,4.98,0.0,0.0,4.98
Drew Sample,plehv79,plehv79,1,False,13.0,231.8,4.333333333333333,3.2194,4.3333,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,2.47,4.2,7.7,0.0,0.0,0.0,50.0,50.0,4.33,2.17,3.3,1.1,7.7,0.0,33.3,0.0,33.3,33.3,89.6,74.4,15.3,91.5,81.7,19.2,0,0,2,1,3,0.6667,,,0,0,0,11.9,0.0001,5.95,5.95,1.1,1.1,4.85
Duke Johnson,LWebs53,Oliverwkw,3,False,47.4,444.1,5.925,8.7078,7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,0,0.78,5.4,6.5,0.0,0.0,0.0,0.0,100.0,-3.41,-1.71,5.2,1.4,17.0,0.0,16.7,0.0,33.3,50.0,65.8,70.3,42.0,98.2,69.6,12.9,2,0,2,6,8,0.25,,0.625,0,0,0,11.9,0.0001,5.95,5.95,5.9167,8.875,-2.925
Dwayne Haskins,LWebs53,LWebs53,2,False,,130.86,,8.1788,,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Dyami Brown,plehv79,JacobRosenzweig,4,False,49.6,256.96,1.6,3.8933,1.984,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,,,,,,,,,,,2.72,-1.6,7.3,0.0,80.0,0.0,0.0,20.0,86.1,1.6,19.6,,,,4,0,0,31,31,0.0,,0.4194,0,0,0,0.0,0.0,,,1.6,1.984,-1.984
Dylan Laube,LWebs53,LWebs53,2,False,0.0,1.7,0.0,0.068,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,,,,,,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,29.5,1.7,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,0.0,0.0,0.0
Dylan Sampson,shmuel256,shmuel256,1,False,81.2,87.6,4.273684210526316,5.475,5.4133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,5.79,-0.2,17.3,0.0,60.0,0.0,26.7,13.3,59.7,12.7,42.5,,,,3,0,0,19,19,0.0,,0.8421,1,0,0,0.0,0.0,,,4.2737,5.4133,-5.4133
Easton Stick,AceMatthew,AceMatthew,1,False,17.38,66.52,17.38,11.0867,17.38,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,17.38,17.38,0.0,0.0,0.0,100.0,0.0,,100.0,26.3,,,,0,0,0,1,1,0.0,,,0,0,0,0.0,0.0,,,17.38,17.38,-17.38
Efton Chism,Oliverwkw,Oliverwkw,1,True,,20.3,,1.8455,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0,0,0,0.0,0.0,,,,,
Eli Heidenreich,plehv79,plehv79,1,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,99.5,29.5,1.7,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,0.0,0.0,0.0
Eli Raridon,plehv79,plehv79,1,True,11.2,11.2,5.6,5.6,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2.26,4.0,7.2,0.0,0.0,0.0,50.0,50.0,96.1,94.3,13.6,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,5.6,5.6,-5.6
Eli Stowers,JacobRosenzweig,JacobRosenzweig,1,True,0.0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,0.0,,
Elic Ayomanor,BROsenzweig,BROsenzweig,2,False,125.5,133.5,6.605263157894737,7.4167,7.3824,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,,3.8,3.8,0.0,100.0,0.0,0.0,0.0,-4.45,-4.45,4.12,1.5,15.6,0.0,29.4,0.0,47.1,23.5,76.6,72.8,35.2,,72.7,6.7,1,0,1,18,19,0.0526,,0.7368,1,0,0,3.8,0.0,3.8,3.8,6.7611,7.6063,-3.8063
Elijah Arroyo,stevenb123,stevenb123,1,False,36.9,39.6,2.1705882352941175,2.8286,2.8385,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,3.33,0.0,10.9,0.0,69.2,0.0,23.1,7.7,88.3,38.6,26.1,,,,3,0,0,17,17,0.0,,0.5294,0,0,0,0.0,0.0,,,2.1706,2.8385,-2.8385
Elijah Mitchell,JacobRosenzweig,plehv79,3,False,215.4,315.0,3.5900000000000003,9.0,8.616,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,3.18,12.9,17.4,0.0,0.0,0.0,100.0,0.0,17.43,8.71,7.74,-0.3,27.8,4.0,40.0,4.0,32.0,20.0,23.7,10.4,71.2,91.8,95.0,37.1,31,0,2,58,60,0.0333,,0.3833,0,0,0,30.3,0.0003,15.15,15.15,3.1914,8.0478,7.1022
Elijah Moore,stevenb123,AceMatthew,3,False,416.4,511.5,7.057627118644067,7.413,8.328,0,0,0,0,0,0,0,0,2,0,0,1,0,5,3,1,4.17,3.4,9.3,0.0,50.0,0.0,50.0,0.0,2.94,1.47,6.64,0.0,29.6,4.0,34.0,2.0,40.0,20.0,42.9,38.0,73.4,84.4,67.3,16.3,6,0,2,57,59,0.0339,,0.5932,1,1,0,12.7,0.0001,6.35,6.35,7.0825,8.4104,-2.0604
Elijah Sarratt,LWebs53,LWebs53,1,True,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,38.0,3.0,,,,1,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,0.0,0.0,0.0
Emanuel Wilson,LWebs53,shmuel256,4,False,130.5,222.7,4.833333333333333,4.9489,5.0192,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,,26.5,26.5,100.0,0.0,0.0,0.0,0.0,21.48,21.48,6.04,0.0,26.5,3.8,69.2,0.0,19.2,7.7,56.1,29.5,65.6,,100.0,63.6,0,0,1,26,27,0.037,,0.5926,0,0,0,26.5,0.0002,26.5,26.5,4.0,4.16,22.34
Emari Demercado,plehv79,LWebs53,3,False,47.1,187.8,3.9250000000000003,4.9421,5.8875,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,,,,,,,,,,,5.24,0.0,14.0,0.0,50.0,0.0,37.5,12.5,64.7,29.5,35.8,,,,3,0,0,12,12,0.0,,0.4167,1,0,0,0.0,0.0,,,3.925,5.8875,-5.8875
Emeka Egbuka,stevenb123,stevenb123,2,False,215.5,217.3,11.342105263157896,11.4368,11.9722,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,8.89,3.5,31.3,9.1,9.1,18.2,36.4,27.3,80.64,7.33,7.81,3.5,31.3,5.6,5.6,16.7,44.4,27.8,22.9,90.0,78.4,26.2,68.7,70.3,0,0,11,8,19,0.5789,0.4545,0.5263,0,0,0,134.3,0.0012,12.2091,12.2091,10.15,11.6,0.6091
Emmanuel Sanders,JacobRosenzweig,LWebs53,2,False,206.7,720.42,8.98695652173913,11.2566,10.8789,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,,22.2,22.2,0.0,0.0,100.0,0.0,0.0,16.79,16.79,6.15,0.0,22.2,0.0,21.1,10.5,63.2,5.3,52.8,38.0,51.8,,100.0,47.7,2,0,1,22,23,0.0435,,0.4348,0,0,0,22.2,0.0002,22.2,22.2,8.3864,10.25,11.95
Emmett Johnson,AceMatthew,AceMatthew,1,True,14.3,14.3,7.15,7.15,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,2.33,5.5,8.8,0.0,0.0,0.0,0.0,100.0,86.8,94.3,25.5,,,,0,0,0,2,2,0.0,,,0,0,0,0.0,0.0,,,7.15,7.15,-7.15
Eno Benjamin,plehv79,AceMatthew,2,False,86.3,123.0,8.629999999999999,5.5909,8.63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,8.27,8.5,23.3,0.0,0.0,33.3,33.3,33.3,16.94,5.65,6.46,0.0,23.3,0.0,30.0,10.0,30.0,30.0,49.7,29.5,53.8,28.2,86.1,52.1,0,0,3,7,10,0.3,,0.3,0,0,0,41.3,0.0004,13.7667,13.7667,6.4286,6.4286,7.3381
Eric Ebron,LWebs53,LWebs53,2,False,54.3,523.9,9.049999999999999,9.8849,9.05,0,0,0,0,0,0,0,0,0,1,0,1,0,6,3,0,,2.9,2.9,0.0,100.0,0.0,0.0,0.0,1.17,1.17,4.48,2.9,13.8,0.0,16.7,0.0,66.7,16.7,70.8,88.6,36.4,,67.5,10.0,0,0,1,5,6,0.1667,,0.5,0,0,0,2.9,0.0,2.9,2.9,10.28,10.28,-7.38
Eric Gray,AceMatthew,AceMatthew,1,False,20.5,26.3,0.6029411764705882,1.052,0.7321,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,,,,,,,,,1.69,-2.0,6.4,0.0,96.4,0.0,0.0,3.6,91.1,1.4,17.0,,,,4,0,0,34,34,0.0,,0.4706,0,0,0,0.0,0.0,,,0.6029,0.7321,-0.7321
Erick All,plehv79,plehv79,1,False,28.6,38.3,1.9066666666666667,4.2556,4.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,,,,,,,,,,,2.32,0.0,6.8,0.0,42.9,0.0,28.6,28.6,94.2,38.6,12.5,,,,7,0,0,15,15,0.0,,0.4667,0,0,0,0.0,0.0,,,1.9067,4.0857,-4.0857
Evan Engram,JacobRosenzweig,BROsenzweig,3,False,737.5,1130.7,7.7631578947368425,9.8322,9.3354,0,0,0,0,1,0,0,0,0,3,0,4,0,6,3,0,6.21,1.5,32.5,6.5,6.5,9.7,67.7,9.7,180.16,5.81,6.44,0.0,39.2,3.8,15.2,6.3,58.2,16.5,35.1,38.6,90.9,46.8,45.0,86.7,10,0,31,64,95,0.3263,0.3548,0.3474,0,0,0,328.4,0.0029,10.5935,10.5935,6.3922,8.5229,2.0706
