Year,Number,Player Picked,Team,Original Team,Number of starts before next transaction,Number of trades,Commissioner moved?,Avg PPG on team,Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,Avg career PPG,Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,Player addition value,Pick-adjusted Difference in Player addition value,% of starts made while rostered by drafting team,Points added,Avg points added,Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,O-Score,Age when drafted,Cuff when drafted?,Tanking,Injury adjusted % of starts made while rostered by drafting team,KTC on draft day,Pick-adjusted Difference in KTC on draft day,KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,Length of tenure on team,Weeks before first start,Link to next transaction,Link to previous transaction
2021 (vet),1.01,AJ Dillon,stevenb123,stevenb123,0,0,False,6.61,6.63,-1.9714,8.43,8.45,-0.4875,6.63,-10.4423,0.0,0.0,0.0,0.0,-5.8987,41.2,23.33,False,0.0004,0.0,3561.0,480.75,4396.0,1705.625,4743.0,2300.625,2914.0,1265.875,677.0,-355.125,1070.0,360.375,61.0,,T#373,
2021 (vet),1.02,Marquise Brown,JacobRosenzweig,JacobRosenzweig,19,0,False,14.3,15.09,7.6971,10.79,11.38,2.8087,45.2625,33.7092,0.5588,251.2,13.22,13.94,9.7837,81.3,24.24,False,-0.0002,0.7308,2864.0,-303.375,3584.0,792.125,4428.0,1946.25,3604.0,2042.125,2944.0,2195.25,2087.0,1504.5,725.0,6,T#123,
2021 (vet),1.03,Damien Harris,AceMatthew,AceMatthew,0,0,False,,,,9.84,9.86,1.0987,,,,0.0,0.0,0.0,-5.8987,37.7,24.54,False,-0.0011,,3687.0,622.5,3601.0,811.25,2729.0,34.875,1891.0,115.0,0.0,-1116.75,0.0,-843.375,0.0,,T#6,
2021 (vet),1.04,Mike Gesicki,BROsenzweig,BROsenzweig,9,0,False,9.35,11.23,3.2857,7.2,8.66,-0.2513,25.2672,10.8574,0.45,99.9,11.1,13.34,9.1088,68.0,25.91,False,-0.002,0.4737,2948.0,-208.875,2737.0,-160.75,2307.0,-439.875,1321.0,-526.25,1288.0,332.25,1751.0,1126.5,396.0,3,T#57,
2021 (vet),1.05,Michael Gallup,plehv79,plehv79,3,0,False,10.17,10.72,2.7029,7.54,7.95,-1.05,17.1124,1.5376,0.1765,24.5,8.17,8.61,3.7875,48.2,25.49,False,-0.0028,0.3333,3377.0,273.75,3056.0,198.125,2796.0,110.25,1950.0,181.375,0.0,-1116.75,0.0,-843.375,333.0,13,T#303,
2021 (vet),1.06,Gus Edwards,LWebs53,LWebs53,0,0,False,0.0,0.0,-10.0314,7.98,8.0,-0.8638,0.0,-18.6905,0.0,0.0,0.0,0.0,-6.69,30.1,26.38,False,0.0024,,3682.0,652.25,1857.0,-780.125,1361.0,-1035.75,1094.0,-507.25,2270.0,1521.625,0.0,-709.625,79.0,,T#162,
2021 (vet),1.07,Tyler Higbee,Oliverwkw,Oliverwkw,7,0,False,8.35,10.03,3.4914,8.22,9.88,1.1662,13.7238,2.6433,0.1373,65.8,9.4,11.3,6.6188,62.8,28.66,False,-0.0071,0.1556,2565.0,-639.25,1847.0,-684.75,1388.0,-674.0,1551.0,-98.0,1001.0,-450.625,1199.0,177.0,1092.0,5,#987,
2021 (vet),1.08,Melvin Gordon,shmuel256,shmuel256,0,0,False,13.11,13.14,5.8763,9.96,9.99,1.0225,18.14,3.5838,0.0,0.0,0.0,0.0,-7.9588,42.2,28.38,True,-0.0056,0.0,2055.0,-1129.625,2223.0,-241.0,2187.0,3.75,130.0,-1856.75,0.0,-1816.75,0.0,-1171.875,76.0,,T#53,
2021 (vet),2.01,Irv Smith,shmuel256,shmuel256,0,0,False,0.0,0.0,-8.835,4.81,5.78,-3.9413,0.0,-16.7238,0.0,0.0,0.0,0.0,-7.7413,28.2,23.06,False,-0.0003,,3464.0,429.5,2618.0,282.5,2343.0,161.125,1644.0,11.625,754.0,-807.5,640.0,-233.0,56.0,,T#160,
2021 (vet),2.02,Marquez Callaway,Oliverwkw,Oliverwkw,1,0,False,9.49,10.01,2.8743,7.02,7.41,-2.7525,11.3275,-3.7226,0.0588,6.0,6.0,6.33,0.4562,36.2,23.43,False,0.0004,0.0625,3278.0,273.0,1431.0,-975.125,996.0,-1295.75,719.0,-1052.125,0.0,-1983.5,0.0,-1352.125,308.0,7,#915,
