Player,Year,Top Team,Last team,Rookie?,Age,Points,Points (full season),Avg points,Avg points (full season),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of teams,Number of transactions,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Total points as starter,% of league points,Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
Darnell Mooney,2025,LWebs53,BROsenzweig,False,27.99,75.3,80.3,4.429411764705883,5.3533,5.3786,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2.88,2.1,8.4,0.0,50.0,0.0,25.0,25.0,-1.65,-0.41,3.95,1.6,16.4,0.0,42.9,0.0,21.4,35.7,82.1,58.3,37.3,94.6,37.5,14.7,2,0,4,13,17,0.2353,0.0,0.2941,18.6,0.0009,-112.89999999999999,-6.721699999999999,-68.78,-4.7197,4.65,4.65,4.3615,5.67,-1.02
Darnell Mooney,2026,BROsenzweig,BROsenzweig,False,29.01,,,,,,,,,,,,,,,,,,,1,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrel Williams,2021,LWebs53,LWebs53,False,26.51,42.599999999999994,196.4,14.199999999999998,10.9111,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,4,0,,,,,,,,,,,8.51,8.0,23.9,0.0,0.0,33.3,33.3,33.3,28.6,90.1,58.0,,,,0,0,0,3,3,0.0,,0.6667,0.0,0.0,,,137.9667,5.2563,,,14.2,14.2,-14.2
Darrell Henderson,2020,LWebs53,LWebs53,False,23.18,130.3,130.3,8.14375,8.6867,8.6867,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3.96,4.7,10.3,0.0,50.0,0.0,50.0,0.0,1.57,0.79,7.32,0.5,21.8,0.0,40.0,13.3,33.3,13.3,37.9,13.0,54.3,83.3,35.8,25.0,0,0,2,14,16,0.125,0.5,0.625,15.0,0.0008,,,107.9,6.1978,7.5,7.5,8.2357,8.8692,-1.3692
Darrell Henderson,2021,LWebs53,LWebs53,False,24.19,163.4,171.4,9.611764705882353,13.1846,13.6167,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.75,4.7,24.7,0.0,14.3,28.6,28.6,28.6,42.72,6.1,7.02,1.7,24.7,0.0,16.7,16.7,50.0,16.7,47.1,35.2,61.7,44.2,49.1,58.2,4,0,7,10,17,0.4118,0.8571,0.5882,94.9,0.005,41.099999999999994,4.4979,95.05,6.8221,13.5571,13.5571,6.85,13.7,-0.1429
Darrell Henderson,2022,LWebs53,Oliverwkw,False,25.15,73.5,73.5,5.653846153846154,7.35,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,,,,,,,,,,,4.22,0.9,13.2,0.0,30.0,0.0,40.0,30.0,82.7,40.1,29.6,,,,2,0,0,13,13,0.0,,0.6154,0.0,0.0,-97.9,-5.8346,-34.5333,-1.4095,,,5.6538,7.35,-7.35
Darrell Henderson,2023,BROsenzweig,BROsenzweig,False,26.19,43.5,43.5,8.7,10.875,10.875,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,,,,,,,,,,,3.69,5.5,13.6,0.0,0.0,0.0,75.0,25.0,80.8,86.6,28.7,,,,0,0,0,5,5,0.0,,0.4,0.0,0.0,-30.0,3.5250000000000004,-55.9,2.4154,,,8.7,10.875,-10.875
Darren Waller,2020,shmuel256,shmuel256,False,28.11,251.9,278.6,15.74375,17.4125,16.7933,1,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,0,10.95,2.9,45.0,20.0,6.7,20.0,53.3,0.0,185.71,12.38,10.95,2.9,45.0,20.0,6.7,20.0,53.3,0.0,7.4,66.7,100.0,10.5,55.8,100.0,0,0,15,1,16,0.9375,0.7333,0.75,251.9,0.014,,,160.3,5.5825,16.7933,16.7933,0.0,,16.7933
Darren Waller,2021,shmuel256,shmuel256,False,29.12,129.3,148.1,7.605882352941177,12.3417,12.93,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6.36,5.3,26.5,10.0,0.0,20.0,60.0,10.0,70.17,7.02,6.36,5.3,26.5,10.0,0.0,20.0,60.0,10.0,55.6,90.0,76.7,85.7,76.2,76.2,6,0,10,7,17,0.5882,0.3,0.4118,129.3,0.0068,-130.50000000000003,-5.070800000000002,-23.6333,-1.9694,12.93,12.93,0.0,,12.93
Darren Waller,2022,shmuel256,shmuel256,False,30.12,79.3,84.8,4.664705882352941,10.6,11.3286,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.95,5.2,17.0,0.0,0.0,33.3,33.3,33.3,17.9,5.97,4.78,5.2,17.0,0.0,0.0,28.6,42.9,28.6,63.6,92.9,45.7,41.2,58.0,64.0,9,0,3,14,17,0.1765,0.3333,0.4118,32.0,0.0018,-63.3,-1.7416999999999998,-81.025,-3.2188,10.6667,10.6667,3.3786,11.825,-1.1583
Darren Waller,2023,Oliverwkw,Oliverwkw,False,31.12,103.7,113.2,6.1000000000000005,9.4333,9.4273,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,,,,,,,,,,,6.15,1.4,22.8,9.1,9.1,9.1,45.5,27.3,44.7,62.5,72.5,,,,5,0,0,17,17,0.0,,0.5882,0.0,0.0,28.400000000000006,-1.1667000000000005,-36.42,-3.9256,,,6.1,9.4273,-9.4273
Darren Waller,2024,Oliverwkw,Oliverwkw,False,32.13,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,-113.2,,,,,,,,
Darren Waller,2025,JacobRosenzweig,JacobRosenzweig,False,33.16,71.0,88.7,5.461538461538462,9.8556,8.875,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,,,,,,,,,,,8.99,0.0,25.6,12.5,37.5,12.5,37.5,0.0,9.1,23.9,78.3,,,,4,0,0,13,13,0.0,,0.3846,0.0,0.0,88.7,,-54.85,-2.8106,,,5.4615,8.875,-8.875
Darren Waller,2026,JacobRosenzweig,JacobRosenzweig,False,34.13,,,,,,,,,,,,,,,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams,2020,LWebs53,LWebs53,False,27.83,341.8,401.7,21.3625,25.1062,26.2923,1,0,0,4,0,0,0,0,0,0,6,0,1,1,0,0,0,12.7,6.6,44.6,46.2,0.0,15.4,30.8,7.7,257.51,19.81,12.7,6.6,44.6,46.2,0.0,15.4,30.8,7.7,3.8,92.0,97.7,7.1,76.9,96.9,2,0,13,3,16,0.8125,0.6154,0.625,341.8,0.019,,,101.15,4.3786,26.2923,26.2923,0.0,,26.2923
Davante Adams,2021,LWebs53,LWebs53,False,28.84,332.8,362.3,19.576470588235296,21.3118,22.1867,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,0,0,9.64,10.2,37.6,40.0,0.0,13.3,46.7,0.0,243.47,16.23,9.64,10.2,37.6,40.0,0.0,13.3,46.7,0.0,11.4,96.3,95.3,20.4,90.7,92.4,1,0,15,2,17,0.8824,0.6667,0.6471,332.8,0.0176,-39.39999999999998,-3.7943999999999996,28.0333,-0.9726,22.1867,22.1867,0.0,,22.1867
Davante Adams,2022,shmuel256,shmuel256,False,29.84,322.2,334.6,18.95294117647059,19.6824,20.1375,1,0,0,3,0,1,0,0,0,0,4,1,0,2,0,0,1,12.06,1.2,37.7,40.0,13.3,0.0,40.0,6.7,196.15,13.08,12.25,1.2,37.7,43.8,12.5,0.0,37.5,6.2,1.1,35.9,91.9,4.0,16.2,91.2,0,0,15,2,17,0.8824,0.4667,0.4706,287.9,0.016,-27.69999999999999,-1.6294000000000004,-6.675,-2.3353,19.1933,19.1933,17.15,34.3,-15.1067
Davante Adams,2023,shmuel256,shmuel256,False,30.84,249.8,265.4,14.694117647058825,15.6118,15.6125,0,0,0,0,0,1,0,0,1,0,1,3,1,1,0,0,0,10.2,1.4,42.2,7.1,14.3,14.3,50.0,14.3,104.44,7.46,11.47,1.4,42.2,12.5,12.5,18.8,43.8,12.5,4.0,38.1,95.2,14.0,16.9,91.9,0,0,14,3,17,0.8235,0.5714,0.5882,188.1,0.0105,-69.20000000000005,-4.070600000000001,-74.54,-5.9034,13.4357,13.4357,20.5667,30.85,-17.4143
Davante Adams,2024,shmuel256,shmuel256,False,31.84,220.5,241.3,12.970588235294118,17.2357,16.9615,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,6.14,6.0,19.8,0.0,0.0,25.0,50.0,25.0,22.0,5.5,10.36,6.0,42.8,7.7,0.0,30.8,53.8,7.7,7.1,94.3,98.4,76.7,78.9,38.0,3,0,4,13,17,0.2353,0.5,0.7059,43.5,0.0022,-24.099999999999966,1.6239000000000008,-86.2167,-3.2341,10.875,10.875,13.6154,19.6667,-8.7917
Davante Adams,2025,AceMatthew,AceMatthew,False,32.84,222.9,258.4,13.111764705882353,15.2,15.9214,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,3,6.84,6.9,26.5,7.1,0.0,35.7,42.9,14.3,148.83,10.63,6.84,6.9,26.5,7.1,0.0,35.7,42.9,14.3,40.6,95.6,78.9,57.1,82.4,73.5,2,0,14,3,17,0.8235,0.7857,0.7059,222.9,0.0113,17.099999999999966,-2.035700000000002,-56.8,-4.8582,15.9214,15.9214,0.0,,15.9214
David Bell,2022,plehv79,plehv79,True,21.87,45.4,45.4,2.6705882352941175,3.0267,3.2429,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,2.3,0.0,6.3,0.0,57.1,0.0,0.0,42.9,92.5,18.2,13.6,,,,2,0,0,17,17,0.0,,0.2353,0.0,0.0,,,,,,,2.6706,3.2429,-3.2429
David Bell,2023,plehv79,plehv79,False,22.88,,62.1,,6.21,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,16.700000000000003,3.1833,16.7,3.1833,,,,,
David Johnson,2020,LWebs53,AceMatthew,False,28.86,156.5,177.5,9.78125,14.7917,14.2273,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,8.29,1.6,28.9,12.5,12.5,0.0,62.5,12.5,54.94,6.87,7.48,1.6,28.9,9.1,9.1,9.1,63.6,9.1,33.3,27.2,79.0,31.0,8.3,80.0,4,0,8,8,16,0.5,0.625,0.625,110.4,0.0061,,,-16.55,0.931,13.8,13.8,5.7625,15.3667,-1.5667
David Johnson,2021,AceMatthew,stevenb123,False,29.8,43.2,81.3,6.171428571428572,6.2538,6.1714,0,0,0,0,0,0,0,0,0,0,0,1,0,4,7,4,0,4.03,1.3,7.0,0.0,50.0,0.0,0.0,50.0,-3.98,-1.99,3.8,1.1,11.8,0.0,28.6,0.0,14.3,57.1,94.3,29.6,21.0,86.0,13.6,9.1,0,0,2,5,7,0.2857,0.0,0.4286,8.3,0.0004,-96.2,-8.5379,-107.2333,-7.8862,4.15,4.15,6.98,6.98,-2.83
David Montgomery,2020,plehv79,plehv79,False,23.38,236.6,267.9,14.7875,16.7438,16.9,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7.66,5.2,27.1,10.0,10.0,30.0,40.0,10.0,94.75,9.47,7.91,5.2,29.2,14.3,7.1,28.6,35.7,14.3,18.2,70.4,80.2,38.1,41.7,75.0,1,0,10,6,16,0.625,0.6,0.5625,166.6,0.0093,,,97.5,6.0938,16.66,16.66,11.6667,17.5,-0.84
David Montgomery,2021,AceMatthew,AceMatthew,False,24.39,185.10000000000002,195.0,10.88823529411765,15.0,15.425,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,5.34,7.5,22.6,0.0,0.0,12.5,62.5,25.0,48.73,6.09,6.93,7.5,28.1,8.3,0.0,25.0,50.0,16.7,51.4,87.7,75.3,72.1,65.5,47.3,4,0,8,9,17,0.4706,0.5,0.4118,103.3,0.0055,-72.89999999999998,-1.7438000000000002,-24.15,1.3031,12.9125,12.9125,9.0889,20.45,-7.5375
David Montgomery,2022,AceMatthew,AceMatthew,False,25.39,175.6,177.7,10.329411764705881,11.1063,11.7067,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,5.8,1.1,21.1,0.0,11.1,11.1,66.7,11.1,47.21,5.25,6.51,1.1,24.1,0.0,6.7,13.3,46.7,33.3,50.7,43.2,63.6,67.4,14.5,56.4,1,0,9,8,17,0.5294,0.4444,0.4118,108.4,0.006,-17.30000000000001,-3.893700000000001,-33.4,-2.967,12.0444,12.0444,8.4,11.2,0.8444
David Montgomery,2023,AceMatthew,AceMatthew,False,26.39,196.2,247.0,11.541176470588235,14.5294,15.0923,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6.71,3.3,20.9,0.0,20.0,20.0,60.0,0.0,39.91,7.98,7.12,3.3,34.1,7.7,7.7,7.7,76.9,0.0,34.6,69.5,91.5,55.3,25.0,45.5,3,0,5,12,17,0.2941,0.8,0.4706,69.6,0.0039,69.30000000000001,3.4231000000000016,44.25,1.2343,13.92,13.92,10.55,15.825,-1.905
David Montgomery,2024,AceMatthew,AceMatthew,False,27.39,220.72,224.32,12.983529411764707,14.9547,15.7657,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5.2,7.5,24.5,0.0,0.0,18.2,63.6,18.2,81.85,7.44,4.85,7.5,24.5,0.0,0.0,21.4,64.3,14.3,61.8,91.7,68.5,77.3,72.3,56.4,2,0,11,6,17,0.6471,0.5455,0.4706,166.22,0.0082,-22.680000000000007,0.4253,12.72,1.3906,15.1109,15.1109,9.0833,18.1667,-3.0558
David Montgomery,2025,AceMatthew,AceMatthew,False,28.39,159.42,165.92,9.377647058823529,9.76,9.9637,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.11,10.1,18.22,0.0,0.0,0.0,100.0,0.0,18.79,6.26,6.86,1.2,29.4,6.2,18.8,0.0,43.8,31.2,31.6,42.9,77.4,80.0,93.1,41.2,0,0,3,14,17,0.1765,0.3333,0.7059,41.42,0.0021,-58.400000000000006,-5.194700000000001,-47.8,-4.0284,13.8067,13.8067,8.4286,9.0769,4.7298
David Njoku,2022,JacobRosenzweig,JacobRosenzweig,False,26.33,96.0,142.0,6.857142857142857,10.1429,9.6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,1,0,,,,,,,,,,,5.57,3.1,18.7,0.0,10.0,10.0,50.0,30.0,48.5,71.4,57.1,,,,3,0,0,14,14,0.0,,0.1429,0.0,0.0,,,59.375,2.9581,,,6.8571,9.6,-9.6
David Njoku,2023,JacobRosenzweig,JacobRosenzweig,False,27.3,201.2,217.5,11.835294117647058,12.7941,12.575,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,4.36,6.8,17.4,0.0,0.0,40.0,60.0,0.0,31.8,6.36,7.07,3.7,27.1,12.5,0.0,18.8,43.8,25.0,26.3,82.5,85.0,63.2,80.8,65.4,0,0,5,12,17,0.2941,0.4,0.2941,63.6,0.0035,75.5,2.651200000000001,123.0,4.9191,12.72,12.72,11.4667,12.5091,0.2109
David Njoku,2024,LWebs53,LWebs53,False,28.3,148.5,148.5,8.735294117647058,13.5,13.5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,7.94,3.9,26.2,25.0,0.0,37.5,25.0,12.5,80.32,10.04,7.9,2.4,26.2,18.2,9.1,27.3,36.4,9.1,12.2,73.2,87.8,15.8,87.0,91.3,5,0,8,9,17,0.4706,0.5,0.4118,123.4,0.0061,-69.0,0.7058999999999997,33.5,4.539,15.425,15.425,2.7889,8.3667,7.0583
David Njoku,2025,LWebs53,LWebs53,False,29.3,86.3,86.3,5.076470588235294,7.8455,7.8455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.45,1.7,10.1,0.0,25.0,0.0,50.0,25.0,1.31,0.33,5.05,1.7,18.7,0.0,27.3,9.1,54.5,9.1,59.1,59.8,52.2,95.2,27.4,32.3,5,0,4,13,17,0.2353,0.0,0.2941,24.3,0.0012,-62.2,-5.6545,-33.4857,-1.6829,6.075,6.075,4.7692,8.8571,-2.7821
Davis Allen,2023,stevenb123,stevenb123,True,22.85,2.4,30.3,1.2,3.7875,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,,,,,,,,,,,1.7,0.0,2.4,0.0,100.0,0.0,0.0,0.0,97.4,21.2,5.0,,,,0,0,0,2,2,0.0,,0.5,0.0,0.0,,,,,,,1.2,1.2,-1.2
Davis Allen,2024,stevenb123,stevenb123,False,23.74,,18.2,,2.275,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,-12.100000000000001,-1.5125000000000002,-12.1,-1.5125,,,,,
Davis Mills,2021,shmuel256,shmuel256,True,23.03,93.0,152.96,9.3,11.7662,10.3333,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,2,0,,6.22,6.22,0.0,100.0,0.0,0.0,0.0,-5.93,-5.93,8.18,-5.32,19.4,0.0,33.3,0.0,44.4,22.2,39.4,2.4,26.8,,41.2,5.9,1,0,1,9,10,0.1,0.0,0.6,6.22,0.0003,,,,,6.22,6.22,9.6422,10.8475,-4.6275
Davis Mills,2022,Oliverwkw,LWebs53,False,23.96,112.56,176.72,10.232727272727272,11.7813,11.256,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,,9.76,9.76,0.0,0.0,0.0,0.0,100.0,0.46,0.46,4.17,5.18,18.08,0.0,20.0,0.0,40.0,40.0,81.0,61.7,29.8,,73.5,17.6,0,0,1,10,11,0.0909,0.0,0.4545,9.76,0.0005,23.75999999999999,0.015100000000000335,23.76,0.0151,9.76,9.76,10.28,11.4222,-1.6622
Dawson Knox,2021,stevenb123,stevenb123,False,25.0,102.39999999999999,193.9,8.533333333333333,11.4059,10.24,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3,1,0,,7.5,7.5,0.0,0.0,0.0,100.0,0.0,-1.5,-1.5,7.36,0.0,20.7,0.0,20.0,30.0,40.0,10.0,25.9,15.0,50.0,,85.7,19.0,2,0,1,11,12,0.0833,0.0,0.5833,7.5,0.0004,,,105.2,5.4926,7.5,7.5,8.6273,10.5444,-3.0444
Dawson Knox,2022,Oliverwkw,Oliverwkw,False,25.95,126.4,158.2,7.435294117647059,9.3059,9.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,,5.5,5.5,0.0,0.0,0.0,0.0,100.0,2.96,2.96,5.77,0.0,21.8,0.0,14.3,7.1,64.3,14.3,45.5,18.6,65.7,,64.0,12.0,1,0,1,16,17,0.0588,1.0,0.5882,5.5,0.0003,-35.70000000000002,-2.1000000000000014,34.4333,1.4059,5.5,5.5,7.5563,9.3,-3.8
Dawson Knox,2023,stevenb123,stevenb123,False,27.07,11.2,63.9,2.8,5.325,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,,,,,,,,,,,1.41,4.6,6.6,0.0,0.0,0.0,50.0,50.0,100.0,90.0,16.2,,,,2,0,0,4,4,0.0,,0.25,0.0,0.0,-94.29999999999998,-3.980899999999999,-68.475,-2.9484,,,2.8,5.6,-5.6
Dawson Knox,2024,stevenb123,stevenb123,False,27.96,,67.6,,3.9765,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,3.6999999999999957,-1.3485,-51.08,-3.8314,,,,,
Dawson Knox,2025,AceMatthew,AceMatthew,False,28.89,8.9,115.9,8.9,6.4389,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,,8.9,8.9,0.0,0.0,0.0,100.0,0.0,0.72,0.72,,8.9,8.9,0.0,0.0,0.0,100.0,0.0,,97.8,10.9,,83.9,25.8,0,0,1,0,1,1.0,1.0,1.0,8.9,0.0005,48.30000000000001,2.4624,5.7333,-0.6686,8.9,8.9,,,8.9
De'Von Achane,2023,Oliverwkw,Oliverwkw,True,22.04,177.6,196.7,10.447058823529412,16.3917,17.76,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,8.97,4.1,27.0,14.3,14.3,42.9,28.6,0.0,78.1,11.16,15.36,1.5,51.3,20.0,30.0,30.0,20.0,0.0,1.3,47.0,100.0,15.8,34.1,70.5,6,0,7,10,17,0.4118,0.7143,0.7059,122.9,0.0069,,,,,17.5571,17.5571,5.47,18.2333,-0.6762
De'Von Achane,2024,Oliverwkw,Oliverwkw,False,23.04,280.8,298.9,16.51764705882353,17.5824,17.55,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,9.56,2.7,32.1,25.0,6.2,25.0,25.0,18.8,161.29,10.08,9.56,2.7,32.1,25.0,6.2,25.0,25.0,18.8,6.6,60.7,90.5,11.4,20.2,85.1,0,0,16,1,17,0.9412,0.25,0.2941,280.8,0.0139,102.19999999999999,1.1906999999999996,102.2,1.1907,17.55,17.55,0.0,,17.55
De'Von Achane,2025,Oliverwkw,Oliverwkw,False,24.04,321.8,321.8,18.929411764705883,20.1125,20.1125,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,7.05,12.8,40.5,18.8,0.0,12.5,68.8,0.0,211.88,13.24,7.05,12.8,40.5,18.8,0.0,12.5,68.8,0.0,30.4,100.0,96.4,46.7,98.0,94.1,0,0,16,1,17,0.9412,0.3125,0.2941,321.8,0.0164,22.900000000000034,2.530100000000001,74.0,3.0228,20.1125,20.1125,0.0,,20.1125
DeAndre Carter,2022,BROsenzweig,BROsenzweig,False,29.57,33.0,118.0,11.0,6.5556,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,,,,,,,,,,,5.09,6.3,16.4,0.0,0.0,0.0,66.7,33.3,73.1,92.9,29.8,,,,0,0,0,3,3,0.0,,0.6667,0.0,0.0,,,77.5,3.9842,,,11.0,11.0,-11.0
DeAndre Hopkins,2020,BROsenzweig,BROsenzweig,False,28.38,278.3,285.8,17.39375,17.8625,18.5533,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,8.07,6.0,30.0,13.3,0.0,40.0,40.0,6.7,181.94,12.13,8.07,6.0,30.0,13.3,0.0,40.0,40.0,6.7,35.4,89.7,78.2,45.5,72.3,80.0,0,0,15,1,16,0.9375,0.5333,0.5,278.3,0.0155,,,-37.47,-1.1534,18.5533,18.5533,0.0,,18.5533
DeAndre Hopkins,2021,BROsenzweig,BROsenzweig,False,29.39,147.2,147.2,8.658823529411764,14.72,14.72,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7.69,0.0,26.3,10.0,0.0,20.0,60.0,10.0,81.88,7.44,6.61,5.1,26.3,10.0,0.0,20.0,60.0,10.0,43.2,78.9,67.4,46.9,8.5,52.5,6,0,11,6,17,0.6471,0.5455,0.4118,147.2,0.0078,-138.60000000000002,-3.1425,-163.58,-3.9268,13.3818,14.72,0.0,,14.72
DeAndre Hopkins,2022,BROsenzweig,BROsenzweig,False,30.39,150.7,150.7,8.86470588235294,16.7444,16.7444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.59,1.4,33.9,11.1,11.1,11.1,66.7,0.0,96.05,10.67,8.59,1.4,33.9,11.1,11.1,11.1,66.7,0.0,21.5,40.4,89.9,32.0,19.9,89.7,1,6,9,8,17,0.5294,0.5556,0.5882,150.7,0.0084,3.5,2.024399999999998,-119.185,-1.2479,16.7444,16.7444,0.0,,16.7444
DeAndre Hopkins,2023,BROsenzweig,Oliverwkw,False,31.39,206.0,223.6,12.117647058823529,13.1529,12.875,0,0,0,0,0,0,0,0,0,0,2,3,0,2,0,0,1,9.53,3.0,34.8,7.7,23.1,15.4,46.2,7.7,94.27,7.25,8.79,3.0,34.8,6.2,18.8,12.5,50.0,12.5,21.5,73.8,88.6,25.0,46.8,82.3,0,0,13,4,17,0.7647,0.4615,0.4118,169.0,0.0094,72.9,-3.591499999999998,-22.448,-4.6767,13.0,13.0,9.25,12.3333,0.6667
DeAndre Hopkins,2024,stevenb123,plehv79,False,32.39,146.0,159.9,8.588235294117647,8.4158,9.125,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3.61,7.7,14.5,0.0,0.0,0.0,66.7,33.3,11.48,3.83,7.41,-0.2,28.6,6.2,25.0,0.0,43.8,25.0,35.4,4.5,73.8,94.2,88.7,23.9,1,0,3,14,17,0.1765,0.3333,0.6471,35.4,0.0018,-63.69999999999999,-4.7371,-82.4067,-8.4893,11.8,11.8,7.9,8.5077,3.2923
DeAndre Hopkins,2025,Oliverwkw,Oliverwkw,False,33.26,13.8,67.0,6.9,3.9412,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,,,,,,,,,,,6.51,2.3,11.5,0.0,50.0,0.0,50.0,0.0,45.8,65.8,22.8,,,,0,0,0,2,2,0.0,,0.0,0.0,0.0,-92.9,-4.474600000000001,-163.5343,-11.4278,,,6.9,6.9,-6.9
DeAndre Washington,2020,LWebs53,LWebs53,False,27.77,7.2,17.1,7.2,4.275,7.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,,7.2,7.2,0.0,0.0,0.0,0.0,100.0,-0.9,-0.9,,7.2,7.2,0.0,0.0,0.0,0.0,100.0,,81.5,14.8,,66.7,17.5,0,0,1,0,1,1.0,1.0,1.0,7.2,0.0004,,,-49.55,-1.2792,7.2,7.2,,,7.2
Dee Eskridge,2021,stevenb123,stevenb123,True,24.61,27.700000000000003,28.3,2.5181818181818185,3.5375,3.9571,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,,,,,,,,,,,4.2,0.0,12.5,0.0,71.4,0.0,14.3,14.3,78.4,13.2,23.2,,,,4,0,0,11,11,0.0,,0.5455,0.0,0.0,,,,,,,2.5182,3.9571,-3.9571
Dee Eskridge,2022,stevenb123,stevenb123,False,25.61,,13.8,,1.5333,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,-14.5,-2.0042,-14.5,-2.0042,,,,,
Deebo Samuel,2020,stevenb123,stevenb123,False,24.77,80.7,80.7,5.04375,11.5286,11.5286,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9.13,0.9,24.3,0.0,40.0,20.0,40.0,0.0,24.47,4.89,8.09,0.9,24.3,0.0,28.6,14.3,42.9,14.3,34.2,30.5,56.3,25.0,20.8,60.0,8,0,5,11,16,0.3125,0.2,0.1875,55.2,0.0031,,,-141.3,-0.8047,11.04,11.04,2.3182,12.75,-1.71
