Player,Year,Top Team,Last team,Rookie?,Age,Points,Points (full season),Avg points,Avg points (full season),Adjusted Avg points,Times as Player of the week?,Times as QB of the week?,Times as RB of the week?,Times as WR of the week?,Times as TE of the week?,Times as Benchwarmer of the week?,Times as Bench QB of the week?,Times as Bench RB of the week?,Times as Bench WR of the week?,Times as Bench TE of the week?,Times as Highest starter on team?,Times as Lowest starter on team?,Times as Captain?,Number of teams,Number of transactions,Number of drops,Number of trades,Starter scoring volatility,Starter scoring floor,Starter scoring ceiling,Starter boom %,Starter bust %,Starter upper quartile %,Starter middle 50% %,Starter lower quartile %,Starter PAR,Starter PAR per game,Rostered scoring volatility,Rostered scoring floor,Rostered scoring ceiling,Rostered boom %,Rostered bust %,Rostered upper quartile %,Rostered middle 50% %,Rostered lower quartile %,Rostered consistency percentile,Rostered floor percentile,Rostered ceiling percentile,Consistency percentile,Floor percentile,Ceiling percentile,Weeks missed due to injury,Weeks missed due to suspension,Weeks as starter,Weeks on bench,Weeks rostered,% of starts,Win % as starter,Win % while rostered,Total points as starter,% of league points,Change in points from previous season,Change in avg points from previous season,Change in points from career,Change in avg points from career,PPG starter,Adjusted PPG starter,PPG bench,Adjusted PPG bench,PPG starter vs bench diff
A.T. Perry,2024,AceMatthew,AceMatthew,False,25.02,,0.0,,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,-60.6,,,,,,,,
Aaron Jones,2020,BROsenzweig,LWebs53,False,25.89,236.4,278.6,14.775,17.4125,18.1846,1,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,1,9.62,9.5,45.6,7.7,0.0,23.1,69.2,0.0,146.23,11.25,9.62,9.5,45.6,7.7,0.0,23.1,69.2,0.0,9.1,88.9,97.5,14.3,75.0,96.7,2,0,13,3,16,0.8125,0.4615,0.5,236.4,0.0131,,,13.05,-0.2908,18.1846,18.1846,0.0,,18.1846
Aaron Jones,2021,LWebs53,LWebs53,False,26.9,228.0,254.0,13.411764705882353,15.875,15.2,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,9.28,4.2,41.5,7.1,7.1,21.4,57.1,7.1,126.49,9.03,9.63,2.3,41.5,6.7,13.3,20.0,53.3,6.7,14.3,42.6,95.7,16.3,41.8,93.6,1,0,14,3,17,0.8235,0.6429,0.6471,225.7,0.0119,-24.600000000000023,-1.5375000000000014,-15.9,-1.7272,16.1214,16.1214,0.7667,2.3,13.8214
Aaron Jones,2022,LWebs53,LWebs53,False,27.9,238.8,246.6,14.047058823529412,14.5059,14.925,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,8.38,5.4,32.0,13.3,0.0,13.3,46.7,26.7,129.63,8.64,8.11,5.4,32.0,12.5,0.0,12.5,50.0,25.0,26.7,80.2,85.2,27.9,50.9,80.0,0,0,15,2,17,0.8824,0.8,0.8235,225.5,0.0125,-7.400000000000006,-1.3690999999999995,-19.325,-2.6506,15.0333,15.0333,6.65,13.3,1.7333
Aaron Jones,2023,shmuel256,shmuel256,False,28.9,114.8,182.7,6.752941176470588,14.0538,11.48,0,0,1,0,0,0,0,0,0,0,1,3,0,3,0,0,2,9.43,2.4,26.7,16.7,33.3,0.0,33.3,16.7,28.39,4.73,7.27,2.4,26.7,10.0,20.0,0.0,50.0,20.0,29.5,61.6,72.0,10.5,18.2,68.2,6,0,6,11,17,0.3529,0.8333,0.5882,67.8,0.0038,-63.900000000000006,-0.4520999999999997,-79.36,-2.5323,11.3,11.3,4.2727,11.75,-0.45
Aaron Jones,2024,BROsenzweig,BROsenzweig,False,29.9,227.1,248.6,13.358823529411765,13.8111,14.1937,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5.72,4.3,25.8,0.0,6.7,6.7,73.3,13.3,94.79,6.32,5.79,4.3,25.8,0.0,6.2,12.5,68.8,12.5,46.1,79.8,72.6,59.1,44.7,61.7,0,0,15,2,17,0.8824,0.5333,0.5882,206.5,0.0102,65.9,-0.24270000000000103,-0.2333,-2.4172,13.7667,13.7667,10.3,20.6,-6.8333
Aaron Jones,2025,BROsenzweig,BROsenzweig,False,30.9,117.7,117.7,6.923529411764706,9.8083,9.8083,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.85,10.1,11.3,0.0,0.0,0.0,100.0,0.0,8.11,4.05,4.49,2.3,15.9,0.0,25.0,0.0,58.3,16.7,69.6,59.5,42.9,100.0,93.1,17.6,4,0,2,15,17,0.1176,0.5,0.6471,21.4,0.0011,-130.89999999999998,-4.002800000000001,-131.1,-6.0244,10.7,10.7,6.42,9.63,1.07
Aaron Rodgers,2020,BROsenzweig,LWebs53,False,36.89,353.26,428.64,22.07875,23.8133,23.5507,0,0,0,0,0,0,1,0,0,0,3,1,0,2,0,0,1,6.7,3.8,30.9,14.3,7.1,35.7,42.9,0.0,167.12,11.94,6.76,3.8,30.9,20.0,6.7,33.3,40.0,0.0,60.7,31.2,56.2,55.6,25.8,58.1,0,0,14,2,16,0.875,0.5,0.5,322.5,0.0179,,,116.08,5.4274,23.0357,23.0357,15.38,30.76,-7.7243
Aaron Rodgers,2021,LWebs53,LWebs53,False,37.9,316.08,338.3,18.59294117647059,19.9,21.072,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,0,0,7.77,1.32,32.5,6.7,6.7,46.7,33.3,6.7,164.44,10.96,7.77,1.32,32.5,6.7,6.7,46.7,33.3,6.7,51.5,36.6,82.9,57.1,14.7,79.4,1,0,15,2,17,0.8824,0.6667,0.6471,316.08,0.0167,-90.33999999999997,-3.913300000000003,-12.9533,-0.3646,21.072,21.072,0.0,,21.072
Aaron Rodgers,2022,shmuel256,shmuel256,False,38.9,224.0,235.2,13.176470588235293,13.8353,14.0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,1,4.49,3.7,16.56,0.0,12.5,0.0,75.0,12.5,45.52,5.69,3.92,3.7,19.36,0.0,6.2,0.0,68.8,25.0,85.7,51.1,38.3,90.4,41.2,26.5,0,0,8,9,17,0.4706,0.5,0.4706,110.34,0.0061,-103.10000000000002,-6.064699999999998,-112.815,-6.3395,13.7925,13.7925,12.6289,14.2075,-0.415
Aaron Rodgers,2023,shmuel256,shmuel256,False,39.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,-4.72,-4.72,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,,21.6,5.9,,2.8,2.8,15,0,1,16,17,0.0588,1.0,0.5882,0.0,0.0,-235.2,-13.8353,-325.452,,0.0,0.0,0.0,,0.0
Aaron Rodgers,2024,stevenb123,AceMatthew,False,40.9,228.62,253.58,13.448235294117648,14.9165,14.2888,0,0,0,0,0,0,1,0,0,0,0,2,0,3,2,1,1,6.88,0.48,21.04,0.0,28.6,0.0,57.1,14.3,0.08,0.01,6.88,0.48,30.06,6.2,12.5,0.0,62.5,18.8,56.1,18.6,72.1,48.1,5.9,41.2,0,0,7,10,17,0.4118,0.7143,0.7059,77.26,0.0038,253.58,14.9165,-17.63,-3.7876,11.0371,11.0371,15.136,16.8178,-5.7807
Aaron Rodgers,2025,AceMatthew,AceMatthew,False,41.9,206.32,224.92,12.136470588235294,13.2306,13.7547,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,6.56,2.68,25.66,0.0,20.0,6.7,40.0,33.3,71.1,48.0,44.9,,,,1,0,0,17,17,0.0,,0.7059,0.0,0.0,-28.660000000000025,-1.6858999999999984,-43.7714,-4.8544,,,12.1365,13.7547,-13.7547
Aaron Rodgers,2026,AceMatthew,AceMatthew,False,42.92,,,,,,,,,,,,,,,,,,,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,2020,JacobRosenzweig,JacobRosenzweig,False,30.17,244.3,254.0,15.26875,16.9333,17.45,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,0,10.02,5.7,32.3,28.6,0.0,21.4,21.4,28.6,156.1,11.15,10.02,5.7,32.3,28.6,0.0,21.4,21.4,28.6,11.4,88.5,82.8,17.9,67.7,83.1,1,0,14,2,16,0.875,0.4286,0.375,244.3,0.0136,,,29.05,0.8654,17.45,17.45,0.0,,17.45
Adam Thielen,2021,JacobRosenzweig,JacobRosenzweig,False,31.18,198.8,198.8,11.694117647058825,15.2923,15.2923,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,9.85,0.0,30.2,15.4,7.7,23.1,30.8,23.1,119.54,8.54,9.33,1.0,30.2,15.4,7.7,23.1,30.8,23.1,14.8,26.3,76.8,16.3,8.5,64.4,3,0,14,3,17,0.8235,0.4286,0.3529,198.8,0.0105,-55.19999999999999,-1.641,-35.8333,-1.0775,14.2,15.2923,0.0,,15.2923
Adam Thielen,2022,JacobRosenzweig,JacobRosenzweig,False,32.18,170.79999999999998,188.0,10.047058823529412,10.4444,10.675,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6.26,1.6,19.5,0.0,25.0,0.0,62.5,12.5,38.51,4.81,6.08,1.6,21.1,0.0,12.5,6.2,56.2,25.0,52.7,47.5,53.0,70.0,24.3,41.2,0,0,8,9,17,0.4706,0.125,0.1765,81.5,0.0045,-10.800000000000011,-4.847899999999999,-37.675,-5.6752,10.1875,10.1875,9.9222,11.1625,-0.975
Adam Thielen,2023,Oliverwkw,Oliverwkw,False,33.18,225.8,229.0,13.282352941176471,13.4706,14.1125,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,1,9.92,1.2,28.5,22.2,22.2,0.0,44.4,11.1,61.09,6.79,8.99,1.2,31.5,18.8,12.5,6.2,56.2,6.2,17.0,32.4,83.8,18.0,14.5,74.2,0,0,9,8,17,0.5294,0.4444,0.4706,113.8,0.0063,41.0,3.0261999999999993,10.86,-1.2686,12.6444,12.6444,14.0,16.0,-3.3556
Adam Thielen,2024,LWebs53,LWebs53,False,34.18,130.1,139.5,7.652941176470588,13.95,14.4556,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,8.79,8.7,28.0,25.0,0.0,0.0,75.0,0.0,36.17,9.04,7.92,4.0,28.0,11.1,11.1,11.1,66.7,0.0,28.3,77.5,71.3,23.3,93.0,64.8,7,0,4,13,17,0.2353,0.0,0.4118,62.1,0.0031,-89.5,0.47940000000000005,-80.45,-0.5522,15.525,15.525,5.2308,13.6,1.925
Adam Thielen,2025,stevenb123,stevenb123,False,35.05,6.6,44.1,2.1999999999999997,2.94,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,,,,,,,,,,,2.31,0.0,4.6,0.0,66.7,0.0,0.0,33.3,92.5,23.7,11.4,,,,0,0,0,3,3,0.0,,0.6667,0.0,0.0,-95.4,-11.01,-164.3571,-11.5075,,,2.2,2.2,-2.2
Adam Trautman,2021,LWebs53,LWebs53,False,24.74,,63.3,,5.7545,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,0.0,0.0,,,23.8,2.1636,,,,,
Adonai Mitchell,2024,Oliverwkw,Oliverwkw,True,22.05,52.76,52.76,3.103529411764706,3.1035,3.2975,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,3.6,-3.0,12.1,0.0,68.8,0.0,12.5,18.8,81.9,0.8,27.0,,,,0,0,0,17,17,0.0,,0.2941,0.0,0.0,,,,,,,3.1035,3.2975,-3.2975
