Year,Number,Player Picked,Team,Original Team,Number of starts before next transaction,Number of trades,Commissioner moved?,Avg PPG on team,Avg PPG on team adjusted by position,Pick-adjusted Difference in Avg PPG on team adjusted by position,Avg career PPG,Avg career PPG adjusted by position,Pick-adjusted Difference in Avg career PPG adjusted by position,Player addition value,Pick-adjusted Difference in Player addition value,% of starts made while rostered by drafting team,Points added,Avg points added,Avg points added adjusted by position,Pick-adjusted Difference in Avg points added adjusted by position,O-Score,Age when drafted,Cuff when drafted?,Tanking,Injury adjusted % of starts made while rostered by drafting team,KTC on draft day,Pick-adjusted Difference in KTC on draft day,KTC at end of rookie year,Pick-adjusted Difference in KTC at end of rookie year,KTC 1 year after draft day,Pick-adjusted Difference in KTC 1 year after draft day,KTC 2 years after draft day,Pick-adjusted Difference in KTC 2 years after draft day,KTC 3 years after draft day,Pick-adjusted Difference in KTC 3 years after draft day,KTC 4 years after draft day,Pick-adjusted Difference in KTC 4 years after draft day,Length of tenure on team,Weeks before first start,Link to next transaction,Link to previous transaction
2021 (vet),2.07,Sam Darnold,JacobRosenzweig,JacobRosenzweig,4,0,False,12.86,10.81,2.6171,12.97,10.91,0.0175,18.2094,2.2014,0.2353,55.18,13.79,11.6,5.6513,65.1,24.23,False,-0.0002,0.3636,3829.0,841.25,1770.0,-764.875,971.0,-1628.5,1492.0,-564.875,2418.0,379.75,3387.0,1695.25,363.0,3,#382,
2021 (vet),2.08,Sony Michel,stevenb123,stevenb123,0,0,False,0.2,0.2,-10.5986,5.85,5.87,-5.01,0.2,-19.1595,0.0,0.0,0.0,0.0,-7.1225,10.6,26.53,False,-0.0053,0.0,2336.0,-750.25,1930.0,-472.75,1089.0,-1493.625,0.0,-1847.125,0.0,-1544.875,0.0,-1497.75,17.0,,#1332,
2021 (vet),3.01,Russell Gage,stevenb123,stevenb123,0,0,False,3.9,4.11,-5.9871,10.73,11.31,0.9838,4.11,-14.7659,0.0,0.0,0.0,0.0,-7.145,25.1,25.6,False,-0.0037,0.0,2430.0,-712.125,2056.0,-373.625,2014.0,-358.625,498.0,-1348.125,279.0,-1403.375,0.0,-1670.0,24.0,,#1335,
2021 (vet),3.02,Tony Pollard,JacobRosenzweig,JacobRosenzweig,0,0,False,10.18,10.2,1.21,12.39,12.42,2.9663,10.2,-6.9804,0.0,0.0,0.0,0.0,-5.695,51.2,24.33,False,-0.0003,0.0,2729.0,-236.25,3301.0,1105.5,3493.0,1474.625,5396.0,4069.625,2964.0,1531.375,3194.0,1923.25,387.0,,T#118,
2021 (vet),3.03,Jameis Winston,AceMatthew,AceMatthew,5,0,False,15.86,13.34,5.9757,11.44,9.62,1.22,23.5832,10.6619,0.1786,70.72,14.14,11.9,7.6925,66.7,27.64,False,-0.005,0.5,4133.0,1597.625,2288.0,175.0,3145.0,1258.625,811.0,-889.25,1220.0,-148.375,1362.0,261.375,451.0,0,#65,
2021 (vet),3.04,Mecole Hardman,BROsenzweig,BROsenzweig,4,0,False,9.69,10.22,2.7371,6.61,6.97,-0.8412,13.4138,0.4239,0.125,26.4,6.6,6.96,3.585,49.4,23.47,False,0.0017,0.1667,2438.0,-24.875,1834.0,-169.5,1760.0,-202.375,1273.0,-183.0,936.0,-165.625,846.0,104.25,479.0,6,#210,
2021 (vet),3.05,Kirk Cousins,plehv79,plehv79,11,0,False,18.15,15.26,7.4033,15.46,13.01,6.3338,43.5658,33.4696,0.6471,197.54,17.96,15.1,12.7425,86.7,33.03,False,-0.0134,0.7333,3561.0,1306.375,3776.0,2154.25,3743.0,2065.125,3662.0,2442.0,3299.0,2423.5,1378.0,702.75,320.0,0,T#163,
2021 (vet),3.06,Adam Trautman,LWebs53,LWebs53,0,0,False,,,,3.9,4.68,-1.5938,,,,0.0,0.0,0.0,-4.245,23.7,24.56,False,0.006,,2040.0,-395.125,1476.0,-195.5,1097.0,-659.875,740.0,-783.0,687.0,-480.125,0.0,-847.5,2.0,,#492,
2021 (vet),3.07,DeeJay Dallas,Oliverwkw,Oliverwkw,0,0,False,0.75,0.75,-8.67,2.03,2.03,-4.775,0.75,-17.0186,0.0,0.0,0.0,0.0,-4.245,13.9,22.95,False,0.001,0.0,920.0,-1734.25,761.0,-885.625,924.0,-731.875,541.0,-840.375,364.0,-1074.25,0.0,-1010.125,38.0,,#864,
2021 (vet),3.08,Phillip Lindsay,shmuel256,shmuel256,0,0,False,8.5,8.52,0.98,3.54,3.55,-2.7125,8.52,-5.3199,0.0,0.0,0.0,0.0,-2.7575,27.7,27.1,False,-0.0043,0.0,1554.0,-706.125,440.0,-1097.125,194.0,-1249.875,0.0,-1413.625,0.0,-1331.25,0.0,-839.875,17.0,,#1178,
2021 (vet),4.01,Denzel Mims,shmuel256,shmuel256,0,0,False,,,,2.68,2.83,-3.9038,,,,0.0,0.0,0.0,-2.8862,21.4,23.89,False,-0.0011,,1793.0,-349.5,818.0,-453.25,796.0,-352.625,501.0,-690.875,554.0,-591.0,0.0,-734.125,0.0,,T#360,
2021 (vet),4.02,Ryan Fitzpatrick,Oliverwkw,Oliverwkw,0,0,False,-0.28,-0.24,-7.178,-0.28,-0.24,-6.515,-0.24,-8.0537,0.0,0.0,0.0,0.0,-0.9988,23.6,38.76,False,-0.0213,0.0,2353.0,435.75,154.0,-879.625,0.0,-980.5,0.0,-976.25,0.0,-884.125,0.0,-561.875,33.0,,#861,
2021 (vet),4.03,Jared Goff,LWebs53,LWebs53,0,0,False,,,,16.67,14.02,10.1125,,,,0.0,0.0,0.0,-0.9988,64.9,26.87,False,0.0014,,3362.0,1825.875,2387.0,1817.0,2512.0,1969.25,4064.0,3683.625,4810.0,4613.0,4495.0,4495.0,2.0,,#369,
2021 (vet),4.04,Sterling Shepard,plehv79,plehv79,0,0,False,11.1,11.71,7.312,6.45,6.8,1.685,11.71,6.4363,0.0,0.0,0.0,0.0,-0.9988,46.5,28.55,False,-0.0071,0.0,1614.0,-195.25,1091.0,385.5,719.0,37.125,528.0,-226.75,0.0,-752.75,0.0,-561.875,363.0,,#1033,
2021 (vet),4.05,Cam Newton,BROsenzweig,BROsenzweig,2,0,False,11.91,10.02,5.284,11.91,10.02,5.3075,14.3985,9.6625,0.1176,19.0,9.5,7.99,7.99,64.9,32.3,False,-0.0116,0.2857,1736.0,-58.0,85.0,-746.25,0.0,-771.75,0.0,-820.75,0.0,-752.75,0.0,-561.875,362.0,11,#185,
2021 (vet),4.06,Parris Campbell,AceMatthew,AceMatthew,0,0,False,3.5,3.69,-2.312,5.94,6.27,1.0888,3.69,-3.1877,0.0,0.0,0.0,0.0,-0.9988,42.1,24.12,False,-0.0006,0.0,2319.0,597.875,1211.0,520.5,1602.0,1030.5,1436.0,794.75,658.0,-12.5,0.0,-561.875,35.0,,#35,
2021 (vet),4.07,Josh Doctson,JacobRosenzweig,JacobRosenzweig,0,0,False,0.0,0.0,-6.74,0.0,0.0,-5.965,0.0,-7.6157,0.0,0.0,0.0,0.0,-0.9988,24.2,28.74,False,-0.0067,,0.0,-2011.0,0.0,-841.875,107.0,-651.375,37.0,-779.125,0.0,-752.75,0.0,-561.875,296.0,,#376,
2021 (vet),4.08,Anthony Firkser,stevenb123,stevenb123,0,0,False,,,,3.72,4.47,-0.9362,,,,0.0,0.0,0.0,-0.9988,31.2,26.52,False,-0.0053,,1357.0,-484.375,549.0,-224.25,244.0,-497.25,0.0,-820.75,0.0,-752.75,0.0,-561.875,12.0,,#1330,
2021,1.01,Najee Harris,stevenb123,stevenb123,44,0,False,13.46,13.49,0.507,12.9,12.93,1.8042,44.0879,8.2446,0.7857,591.5,13.44,13.48,3.0033,65.6,23.47,False,0.0001,0.8302,6743.0,131.0,6724.0,295.3,6427.0,-56.7,4470.0,-1588.125,3165.0,-2174.3333,2431.0,-379.5,1137.0,0,T#199,
2021,1.02,Kyle Pitts,stevenb123,JacobRosenzweig,38,1,False,9.38,11.27,-2.6227,9.38,11.27,-0.5578,24.6829,-13.2059,0.4471,345.3,9.09,10.92,-0.665,40.4,20.9,False,0.0046,0.5135,6182.0,-219.5556,6786.0,230.5333,7315.0,785.9333,5413.0,-1004.25,4911.0,-923.4444,3190.0,-368.3333,1820.0,0,,T#455
2021,1.03,Trevor Lawrence,AceMatthew,AceMatthew,19,0,False,15.07,12.67,-0.9807,16.05,13.5,2.0578,24.4203,-10.9152,0.3725,331.32,17.44,14.67,3.7167,47.9,21.9,False,0.0023,0.4043,6953.0,1095.5556,6079.0,-506.9333,5264.0,-1226.8667,8068.0,1847.1667,5845.0,502.3333,5054.0,-1026.3333,988.0,4,T#23,
2021,1.04,Ja'Marr Chase,BROsenzweig,BROsenzweig,71,0,False,19.41,20.47,6.9213,19.41,20.47,8.9161,73.593,38.5702,0.8353,1385.22,19.51,20.58,8.7267,97.3,21.49,False,0.0046,0.9589,5849.0,251.1667,8519.0,1993.8667,8833.0,2586.0,9083.0,2810.4167,8692.0,2907.2222,9997.0,4060.6667,1820.0,3,,
2021,1.05,Javonte Williams,shmuel256,plehv79,8,1,False,11.71,11.74,-0.1135,11.72,11.75,1.5087,22.1529,-7.2108,0.3478,119.0,14.88,14.91,5.7071,42.7,21.34,False,0.0014,0.4,5458.0,236.125,6586.0,747.95,6269.0,490.175,4530.0,-987.625,3287.0,-1763.3333,2758.0,-2814.0,420.0,7,T#301,T#357
2021,1.06,Travis Etienne,AceMatthew,LWebs53,38,1,False,13.38,13.42,1.4098,13.38,13.42,2.9856,31.3218,3.0409,0.4471,564.1,14.84,14.88,4.1325,65.8,22.59,False,0.0014,0.6129,4174.0,-721.8542,5049.0,-493.725,5058.0,-431.825,5037.0,-674.875,5517.0,384.6667,3023.0,-445.875,1820.0,17,,T#5
2021,1.07,Jaylen Waddle,Oliverwkw,Oliverwkw,9,0,False,15.42,16.27,5.2402,13.27,13.99,4.7929,39.8136,13.3058,0.5294,166.1,18.46,19.46,11.6619,89.2,22.76,False,0.0013,0.6,4893.0,143.0417,6186.0,920.875,5385.0,-42.35,7053.0,2518.8438,5998.0,2294.75,4477.0,1789.5,306.0,4,T#162,
2021,1.08,Trey Lance,shmuel256,shmuel256,3,0,False,9.56,8.04,-2.4144,6.42,5.4,-4.0423,12.0304,-12.6732,0.0882,30.52,10.17,8.56,0.4812,28.6,21.31,False,0.0014,0.375,6716.0,1923.125,6210.0,530.575,6129.0,476.875,1758.0,-3356.0312,1180.0,-2489.4583,1159.0,-2163.0,634.0,16,T#238,
